"","ceRNA","log_rank_p","cancer","sur_sig"
"1356","AL390955.2-MIR200A-TFRC",0.163465163027662,"LUAD","no_sig"
"1357","AL390955.2-MIR200A-TGFB2",0.269072337897119,"LUAD","no_sig"
"1358","AL390955.2-MIR200A-VCAM1",0.708222703125021,"LUAD","no_sig"
"1359","AL390955.2-MIR320B2-MAPK3",0.304327931286719,"LUAD","no_sig"
"1360","AL390955.2-MIR320B2-PPIA",0.000106905576690353,"LUAD","sig"
"1361","AL390955.2-MIR320B2-TRPC4AP",0.739193992601004,"LUAD","no_sig"
"1362","AL390955.2-MIR4677-BIRC5",0.000112220947536601,"LUAD","sig"
"1363","AL390955.2-MIR4677-HSP90AA1",0.00230779612625664,"LUAD","sig"
"1364","AL390955.2-MIR4677-SDC3",0.540925019323986,"LUAD","no_sig"
"1365","AL450326.1-MIR942-ACVRL1",0.0831020044276694,"LUAD","no_sig"
"1366","AP002761.3-MIR579-HLA-DRB1",0.0249154143266476,"LUAD","sig"
"1367","AP002761.3-MIR579-PAK4",0.0170300167376638,"LUAD","sig"
"1368","AP003068.1-MIR3942-NR2F6",0.182905824266669,"LUAD","no_sig"
"1369","DCST1-AS1-MIR138-1-TOR2A",0.210573057607681,"LUAD","no_sig"
"1370","DNAH17-AS1-MIR23B-HDGF",0.00540749130749762,"LUAD","sig"
"1371","DNAH17-AS1-MIR23B-PSMD14",0.00356189658254624,"LUAD","sig"
"1372","DNAH17-AS1-MIR23B-SRC",0.525661580096872,"LUAD","no_sig"
"1373","EXOC3-AS1-MIR185-APOBEC3C",0.152752566379089,"LUAD","no_sig"
"1374","EXOC3-AS1-MIR185-HSP90AB1",0.831212306909547,"LUAD","no_sig"
"1375","EXOC3-AS1-MIR185-IKBKG",0.0299926426054339,"LUAD","sig"
"1376","EXOC3-AS1-MIR185-MDK",0.267506120429775,"LUAD","no_sig"
"1377","EXOC3-AS1-MIR185-PSME3",0.000129085393631989,"LUAD","sig"
"1378","EXOC3-AS1-MIR185-TGFB1",0.925577697153469,"LUAD","no_sig"
"1379","EXOC3-AS1-MIR326-ACTG1",0.0336479986119776,"LUAD","sig"
"1380","EXOC3-AS1-MIR326-AKT1",0.0390098492386576,"LUAD","sig"
"1381","EXOC3-AS1-MIR326-HLA-C",0.716570335742023,"LUAD","no_sig"
"1382","EXOC3-AS1-MIR326-TRPC4AP",0.0382660754993989,"LUAD","sig"
"1383","EXOC3-AS1-MIR3619-HDGF",0.00391528739433378,"LUAD","sig"
"1384","EXOC3-AS1-MIR3619-HSP90AB1",0.935129477684379,"LUAD","no_sig"
"1385","EXOC3-AS1-MIR3619-JAG2",0.274889189964789,"LUAD","no_sig"
"1386","HEIH-MIR98-NR2F6",0.245705060622495,"LUAD","no_sig"
"1387","HEIH-MIRLET7A2-HRAS",0.495260422085636,"LUAD","no_sig"
"1388","LBX2-AS1-MIR3173-RXRB",0.339150153178566,"LUAD","no_sig"
"1389","LBX2-AS1-MIR491-CLDN4",0.214422976376589,"LUAD","no_sig"
"1390","LBX2-AS1-MIR491-HLA-C",0.849010109719324,"LUAD","no_sig"
"1391","LBX2-AS1-MIR627-HDGF",0.00339501441568235,"LUAD","sig"
"1392","LBX2-AS1-MIR627-HSPA5",0.159716957676216,"LUAD","no_sig"
"1393","LINC01023-MIR370-MAP2K2",0.125841438125104,"LUAD","no_sig"
"1394","MSC-AS1-MIR200B-CRLF3",0.20298281568673,"LUAD","no_sig"
"1395","MSC-AS1-MIR200B-FLT1",0.078409692214983,"LUAD","no_sig"
"1396","MSC-AS1-MIR200B-IL12RB2",0.0335452188840275,"LUAD","sig"
"1397","MSC-AS1-MIR200B-PAK2",0.0239841058312789,"LUAD","sig"
"1398","NKILA-MIR140-CSK",0.0628267040597154,"LUAD","no_sig"
"1399","OIP5-AS1-MIR193A-MAVS",0.723108885362984,"LUAD","no_sig"
"1400","OIP5-AS1-MIR193A-PTK2",0.294344417252635,"LUAD","no_sig"
"1401","PITPNA-AS1-MIR32-IFITM1",0.855329695546161,"LUAD","no_sig"
"1402","PITPNA-AS1-MIR32-PSME3",3.69433134885799e-05,"LUAD","sig"
"1403","PITPNA-AS1-MIR374A-HSP90AA1",0.00227575475305952,"LUAD","sig"
"1404","PITPNA-AS1-MIR374A-TOR2A",0.16808382312938,"LUAD","no_sig"
"1405","PITPNA-AS1-MIR374A-VEGFB",0.382958286325869,"LUAD","no_sig"
"1406","PPP1R26-AS1-MIR193A-MAVS",0.706233674061473,"LUAD","no_sig"
"1407","PPP1R26-AS1-MIR193A-PTK2",0.306640227176367,"LUAD","no_sig"
"1408","SCGB1B2P-MIR125B1-ADRM1",0.00286839753643819,"LUAD","sig"
"1409","SCGB1B2P-MIR125B1-AKT1",0.601827789142089,"LUAD","no_sig"
"1410","SCGB1B2P-MIR125B1-EPOR",0.00692034378155681,"LUAD","sig"
"1411","SCGB1B2P-MIR125B1-TOR2A",0.56770534717045,"LUAD","no_sig"
"1412","SCGB1B2P-MIR15B-THRA",0.121807485681124,"LUAD","no_sig"
"1413","SCGB1B2P-MIR16-2-JUN",0.316695860931069,"LUAD","no_sig"
"1414","SCGB1B2P-MIR16-2-SEMA4C",0.33454199613456,"LUAD","no_sig"
"1415","SNHG16-MIR200A-GRB2",0.067881604700915,"LUAD","no_sig"
"1416","SNHG16-MIR200A-HMGB1",0.116921965832991,"LUAD","no_sig"
"1417","SNHG16-MIR200A-PSMD11",0.00759390097897472,"LUAD","sig"
"1418","SNHG16-MIR200A-PSMD2",0.00176146333650595,"LUAD","sig"
"1419","SNHG16-MIR200A-TFRC",0.17061690435292,"LUAD","no_sig"
"1420","SNHG16-MIR200A-TGFB2",0.743146905954892,"LUAD","no_sig"
"1421","SNHG6-MIR125B1-ADRM1",0.294650431540975,"LUAD","no_sig"
"1422","SNHG6-MIR125B1-CD320",0.0138810829296284,"LUAD","sig"
"1423","SNHG6-MIR125B1-HDGF",0.0171304137041437,"LUAD","sig"
"1424","SNHG6-MIR125B1-PRDX2",0.190319347523836,"LUAD","no_sig"
"1425","SNHG6-MIR26A1-BID",0.0546527417914923,"LUAD","no_sig"
"1426","SNHG6-MIR26A1-BIRC5",3.00911577382212e-05,"LUAD","sig"
"1427","SNHG6-MIR26A1-HSPA8",0.0448964403906176,"LUAD","sig"
"1428","SNHG6-MIR26A1-PPIA",1.41634061288087e-05,"LUAD","sig"
"1429","SPINT1-AS1-MIR361-EPOR",0.044277247195141,"LUAD","sig"
"1430","SPINT1-AS1-MIR361-PAK4",0.0195386436031937,"LUAD","sig"
"1431","SPINT1-AS1-MIR361-VEGFB",0.25726682723061,"LUAD","no_sig"
"1432","TRIM52-AS1-MIR218-1-HLA-A",0.637604927328398,"LUAD","no_sig"
"1433","TRIM52-AS1-MIR218-1-HLA-E",0.197501141681848,"LUAD","no_sig"
"1434","TRIM52-AS1-MIR218-1-PPIA",8.7803141259557e-05,"LUAD","sig"
"1435","TRIM52-AS1-MIR218-1-RARA",0.533669422914914,"LUAD","no_sig"
"1436","TRIM52-AS1-MIR218-1-RHOA",0.631858669729567,"LUAD","no_sig"
"1437","TRIM52-AS1-MIR361-EPOR",0.0172329992294034,"LUAD","sig"
"1438","TRIM52-AS1-MIR361-PAK4",0.0706197866673205,"LUAD","no_sig"
"1439","TRIM52-AS1-MIR361-VEGFB",0.503360558968265,"LUAD","no_sig"
"1440","TRIM52-AS1-MIR374A-TOR2A",0.810759255294639,"LUAD","no_sig"
"1441","TRIM52-AS1-MIR374A-VEGFB",0.501654783027242,"LUAD","no_sig"
"1442","VPS9D1-AS1-MIR23B-HDGF",0.00540749130749762,"LUAD","sig"
"1443","VPS9D1-AS1-MIR23B-PLAU",0.0988883156494738,"LUAD","no_sig"
"1444","VPS9D1-AS1-MIR23B-PRDX1",0.0538629561832347,"LUAD","no_sig"
"1445","VPS9D1-AS1-MIR23B-PSMD14",0.00031220175502733,"LUAD","sig"
"1446","VPS9D1-AS1-MIR23B-SRC",0.254141993850819,"LUAD","no_sig"
"1447","WASIR2-MIR26A1-BID",0.00524843139103026,"LUAD","sig"
"1448","WASIR2-MIR26A1-BIRC5",0.000220225046512312,"LUAD","sig"
"1449","WASIR2-MIR26A1-GRK2",0.503059653996859,"LUAD","no_sig"
"1450","WASIR2-MIR26A1-PPIA",4.50433035463771e-05,"LUAD","sig"
"1451","ZNF561-AS1-MIR324-HMGB1",0.0651226598764584,"LUAD","no_sig"
"1452","ZNF561-AS1-MIR324-HSPA8",0.133131654649219,"LUAD","no_sig"
"1453","ZNF561-AS1-MIR324-PSME1",0.294782046954193,"LUAD","no_sig"
"1454","AC008966.1-MIR186-F2RL1",0.804002591083383,"LUSC","no_sig"
"1455","AC008966.1-MIR186-HSP90AA1",0.627998022341054,"LUSC","no_sig"
"1456","AC008966.1-MIR186-HSP90AB1",0.52210384858813,"LUSC","no_sig"
"1457","AC008966.1-MIR186-NENF",0.114743854557796,"LUSC","no_sig"
"1458","AC008966.1-MIR186-PPIA",0.108378546909006,"LUSC","no_sig"
"1459","AC008966.1-MIR186-PSMD13",0.51908114215357,"LUSC","no_sig"
"1460","AC008966.1-MIR186-PSMD2",0.343714121132664,"LUSC","no_sig"
"1461","AC008966.1-MIR186-PSMD3",0.577036504779764,"LUSC","no_sig"
"1462","AC008966.1-MIR186-PSMD4",0.313774279905989,"LUSC","no_sig"
"1463","AC008966.1-MIR186-PSMD8",0.201888101368702,"LUSC","no_sig"
"1464","AC008966.1-MIR186-PSME3",0.291297283199046,"LUSC","no_sig"
"1465","AC010186.3-MIR145-CDK4",0.0190722059201471,"LUSC","sig"
"1466","AC010186.3-MIR145-FAM3C",0.252461748573305,"LUSC","no_sig"
"1467","AC010186.3-MIR145-NRAS",0.669684243042625,"LUSC","no_sig"
"1468","AC026401.3-MIR139-ELAVL1",0.0917420421802965,"LUSC","no_sig"
"1469","AC026401.3-MIR139-HSP90AA1",0.627998022341054,"LUSC","no_sig"
"1470","AC026401.3-MIR139-PSME3",0.271850095072127,"LUSC","no_sig"
"1471","AC027031.2-MIR146B-HSPA1B",0.568215918825363,"LUSC","no_sig"
"1472","AC027031.2-MIR146B-IL1RL2",0.210973954058725,"LUSC","no_sig"
"1473","AC092718.4-MIRLET7I-ZC3HAV1L",0.296656117450434,"LUSC","no_sig"
"1474","AC127521.1-MIR210-BTK",0.815081556670913,"LUSC","no_sig"
"1475","AFAP1-AS1-MIR145-CDK4",0.0114462814861807,"LUSC","sig"
"1476","AFAP1-AS1-MIR145-MMP12",0.526109706633342,"LUSC","no_sig"
"1477","AFAP1-AS1-MIR145-STAT1",0.841713793690527,"LUSC","no_sig"
"1478","AGAP2-AS1-MIRLET7A2-CASP3",0.0067566420407994,"LUSC","sig"
"1479","AGAP2-AS1-MIRLET7A2-PAK1",0.00423863370161337,"LUSC","sig"
"1480","AGAP2-AS1-MIRLET7A2-ZC3HAV1L",0.806927688960083,"LUSC","no_sig"
"1481","AL139385.1-MIR146B-HSPA1B",0.866660716253041,"LUSC","no_sig"
"1482","AL139385.1-MIR146B-IL1RL2",0.215844011464463,"LUSC","no_sig"
"1483","BBOX1-AS1-MIR125B1-PRDX2",0.00595404780303621,"LUSC","sig"
"1484","CYTOR-MIR27B-NRAS",0.302667327680814,"LUSC","no_sig"
"1485","LINC00511-MIR26A1-ADM",0.438523434121266,"LUSC","no_sig"
"1486","LINC00511-MIR26A1-BID",0.196245496291198,"LUSC","no_sig"
"1487","LINC00511-MIR26A1-BIRC5",0.0772193910524649,"LUSC","no_sig"
"1488","LINC00511-MIR26A1-CASP3",0.014345736317443,"LUSC","sig"
"1489","LINC00511-MIR26A1-HSPA8",0.724820671138967,"LUSC","no_sig"
"1490","LINC00511-MIR26A1-PPIA",0.0879246299579668,"LUSC","no_sig"
"1491","LINC00511-MIR766-BMPR1A",0.123534669238888,"LUSC","no_sig"
"1492","LINC00511-MIR766-CALR",0.390350940904484,"LUSC","no_sig"
"1493","LINC00511-MIR766-NR1D2",0.0274700962553913,"LUSC","sig"
"1494","LINC00511-MIR766-ZC3HAV1L",0.0899858500258743,"LUSC","no_sig"
"1495","LINC01705-MIR186-F2RL1",0.807448660476078,"LUSC","no_sig"
"1496","PVT1-MIR145-FAM3C",0.216219925237552,"LUSC","no_sig"
"1497","PVT1-MIR145-STAT1",0.626516565551903,"LUSC","no_sig"
"1498","SOX21-AS1-MIR145-CDK4",0.0261260883827583,"LUSC","sig"
"1499","SOX21-AS1-MIR145-FAM3C",0.199716449918433,"LUSC","no_sig"
"1500","SOX21-AS1-MIR27B-PAK2",0.5048812146696,"LUSC","no_sig"
"1501","SOX21-AS1-MIR27B-PDK1",0.415645290082239,"LUSC","no_sig"
"1502","SOX21-AS1-MIRLET7A2-CASP3",0.00466971715556075,"LUSC","sig"
"1503","SOX21-AS1-MIRLET7A2-PAK1",0.00423863370161337,"LUSC","sig"
"1504","SOX21-AS1-MIRLET7A2-ZC3HAV1L",0.7223949359498,"LUSC","no_sig"
"1505","SOX21-AS1-MIRLET7G-ADIPOR2",0.985748258346487,"LUSC","no_sig"
"1506","SOX21-AS1-MIRLET7G-CASP3",0.00356957402521951,"LUSC","sig"
"1507","THSD4-AS1-MIRLET7G-ADIPOR2",0.779207817293348,"LUSC","no_sig"
"1508","THSD4-AS1-MIRLET7G-CASP3",0.00356957402521951,"LUSC","sig"
"1509","TP53TG1-MIRLET7A2-CASP3",0.00345049719054902,"LUSC","sig"
"1510","TP53TG1-MIRLET7A2-PAK1",0.00423863370161337,"LUSC","sig"
"1511","TP53TG1-MIRLET7A2-ZC3HAV1L",0.274919841262883,"LUSC","no_sig"
"1512","TP53TG1-MIRLET7G-CASP3",0.00345049719054902,"LUSC","sig"
"1513","SNHG16-MIR342-CANX",0.78869608517833,"MESO","no_sig"
"1514","AC005082.1-MIR222-HDGF",0.612418910885587,"OV","no_sig"
"1515","AC005229.4-MIR222-DAXX",0.897238035816144,"OV","no_sig"
"1516","AC005229.4-MIR222-HDGF",0.616309314285882,"OV","no_sig"
"1517","AC023644.1-MIR148B-HLA-A",0.696443489417227,"OV","no_sig"
"1518","AC023644.1-MIR148B-HLA-C",0.79127238989602,"OV","no_sig"
"1519","AC025154.2-MIR16-1-S100A14",0.309939259316772,"OV","no_sig"
"1520","AC104667.2-MIR331-PSME1",0.346479668842862,"OV","no_sig"
"1521","CARD8-AS1-MIR625-CCL11",0.0882814059089936,"OV","no_sig"
"1522","FOXN3-AS1-MIR1301-HLA-B",0.432602007889722,"OV","no_sig"
"1523","LINC01952-MIR222-DAXX",0.930578112912498,"OV","no_sig"
"1524","TYMSOS-MIR222-DAXX",0.513955621037712,"OV","no_sig"
"1525","TYMSOS-MIR222-HDGF",0.43837166503545,"OV","no_sig"
"1526","ZNF687-AS1-MIR148B-HLA-A",0.558827655492194,"OV","no_sig"
"1527","AC016026.1-MIR425-TNFRSF10B",0.0330423351995689,"PAAD","sig"
"1528","AC019069.1-MIR642A-IL2RA",0.328911036709558,"PAAD","no_sig"
"1529","AC019069.1-MIR642A-LGMN",0.58648585896062,"PAAD","no_sig"
"1530","AC019069.1-MIR642A-NRAS",0.0207502672055245,"PAAD","sig"
"1531","AC022150.4-MIR106B-ACVR1B",0.0157550791076844,"PAAD","sig"
"1532","AC022150.4-MIR106B-B2M",0.0322854306081429,"PAAD","sig"
"1533","AC022150.4-MIR106B-BMPR2",0.0110722478122585,"PAAD","sig"
"1534","AC022150.4-MIR106B-CTSS",0.206055806602027,"PAAD","no_sig"
"1535","AC022150.4-MIR106B-F2R",0.00487521912562738,"PAAD","sig"
"1536","AC022150.4-MIR106B-F2RL1",0.012926707933103,"PAAD","sig"
"1537","AC022150.4-MIR106B-IFNAR1",0.000841336564365913,"PAAD","sig"
"1538","AC022150.4-MIR106B-TCF7L2",0.0343126448017784,"PAAD","sig"
"1539","AC022150.4-MIR106B-TNFRSF10A",0.000587701914613992,"PAAD","sig"
"1540","AC100861.1-MIR320D1-MDK",0.123437110834516,"PAAD","no_sig"
"1541","AC100861.1-MIR320D1-SEMA7A",0.030546837923584,"PAAD","sig"
"1542","AC100861.1-MIR379-B2M",0.0322854306081429,"PAAD","sig"
"1543","AC110597.1-MIR93-BMPR2",0.0259325443567128,"PAAD","sig"
"1544","AC110597.1-MIR93-CXCL8",0.341803619796538,"PAAD","no_sig"
"1545","AC110597.1-MIR93-F2R",0.0342769084412097,"PAAD","sig"
"1546","AC110597.1-MIR93-ICAM1",0.0850096687459119,"PAAD","no_sig"
"1547","AC120036.4-MIR200C-MALT1",0.155111830878378,"PAAD","no_sig"
"1548","AL160286.2-MIR221-TOR2A",0.174079971561217,"PAAD","no_sig"
"1549","ALMS1-IT1-MIR320D1-MDK",0.123437110834516,"PAAD","no_sig"
"1550","ALMS1-IT1-MIR320D1-SEMA7A",0.0433566363160588,"PAAD","sig"
"1551","CCDC144NL-AS1-MIR25-ITGAV",0.0227302832940909,"PAAD","sig"
"1552","CCDC144NL-AS1-MIR25-PDGFRL",0.0452265680259445,"PAAD","sig"
"1553","CCDC144NL-AS1-MIR25-UBR1",0.0295254117493514,"PAAD","sig"
"1554","CYTOR-MIR642A-IL2RA",0.0445581063868654,"PAAD","sig"
"1555","CYTOR-MIR642A-LGMN",0.583888871174306,"PAAD","no_sig"
"1556","CYTOR-MIR642A-NRAS",0.0323974298209828,"PAAD","sig"
"1557","HCG11-MIR642A-IL2RA",0.463199771355643,"PAAD","no_sig"
"1558","HCG11-MIR642A-LGMN",0.587359113510591,"PAAD","no_sig"
"1559","HCG11-MIR642A-NRAS",0.0374562207571832,"PAAD","sig"
"1560","LINC00313-MIR320D1-MDK",0.123437110834516,"PAAD","no_sig"
"1561","LINC00313-MIR320D1-SEMA7A",0.0631686398361684,"PAAD","no_sig"
"1562","LINC01140-MIR200B-AVPR1A",0.335666032934552,"PAAD","no_sig"
"1563","LINC01140-MIR200B-FLT1",0.527606230930735,"PAAD","no_sig"
"1564","LINC01140-MIR200B-IL12RB2",0.234141432486017,"PAAD","no_sig"
"1565","LINC01140-MIR200B-KDR",0.0494625819629242,"PAAD","sig"
"1566","LINC01140-MIR200B-MALT1",0.440955238419492,"PAAD","no_sig"
"1567","LINC01140-MIR200C-EDNRA",0.207793425613133,"PAAD","no_sig"
"1568","LINC01140-MIR200C-JUN",0.618958297373621,"PAAD","no_sig"
"1569","LINC01140-MIR200C-MALT1",0.174968045704528,"PAAD","no_sig"
"1570","LINC01140-MIR429-AVPR1A",0.0294049274791516,"PAAD","sig"
"1571","LINC01140-MIR429-MALT1",0.0294049274791516,"PAAD","sig"
"1572","LINC01140-MIR429-PAK2",0.00801786400479798,"PAAD","sig"
"1573","LINC01140-MIR429-PLCG1",0.0554209564720214,"PAAD","no_sig"
"1574","LINC01303-MIR200B-KDR",0.0564777072643172,"PAAD","no_sig"
"1575","LINC01303-MIR200B-MALT1",0.462485848552606,"PAAD","no_sig"
"1576","LINC01303-MIR429-MALT1",0.0294049274791516,"PAAD","sig"
"1577","LINC01303-MIR429-PLCG1",0.0554209564720214,"PAAD","no_sig"
"1578","LINC02086-MIR342-ACVR1B",0.0548377044438052,"PAAD","no_sig"
"1579","LINC02086-MIR342-BMP2",0.00289020262441597,"PAAD","sig"
"1580","LINC02086-MIR342-HDGF",0.00730456425859916,"PAAD","sig"
"1581","MIR194-2HG-MIR125B1-IL1RN",0.00819839472356731,"PAAD","sig"
"1582","MIR4435-2HG-MIR642A-IL2RA",0.178738632813364,"PAAD","no_sig"
"1583","MIR4435-2HG-MIR642A-LGMN",0.587359113510591,"PAAD","no_sig"
"1584","MIR4435-2HG-MIR642A-NRAS",0.0203716843070072,"PAAD","sig"
"1585","MSC-AS1-MIR200B-AVPR1A",0.183616348676457,"PAAD","no_sig"
"1586","MSC-AS1-MIR200B-FLT1",0.594318183678036,"PAAD","no_sig"
"1587","MSC-AS1-MIR200B-KDR",0.184648938461504,"PAAD","no_sig"
"1588","MSC-AS1-MIR200B-MALT1",0.221158313784922,"PAAD","no_sig"
"1589","MSC-AS1-MIR25-BMPR1A",0.0247572925219428,"PAAD","sig"
"1590","MSC-AS1-MIR25-C3",0.295722961612713,"PAAD","no_sig"
"1591","MSC-AS1-MIR25-HSPA8",0.264551846033705,"PAAD","no_sig"
"1592","MSC-AS1-MIR25-IL6ST",0.0512070696158126,"PAAD","no_sig"
"1593","MSC-AS1-MIR25-ITGAV",0.0227302832940909,"PAAD","sig"
"1594","MSC-AS1-MIR25-PDGFRL",0.0103229221315809,"PAAD","sig"
"1595","MSC-AS1-MIR25-TLR3",0.00639183498962836,"PAAD","sig"
"1596","MSC-AS1-MIR25-UBR1",0.00876788454871691,"PAAD","sig"
"1597","MSC-AS1-MIR425-TNFRSF10B",0.0383150176658413,"PAAD","sig"
"1598","MSC-AS1-MIR429-AVPR1A",0.0294049274791516,"PAAD","sig"
"1599","MSC-AS1-MIR429-MALT1",0.0294049274791516,"PAAD","sig"
"1600","MSC-AS1-MIR429-PAK2",0.00400286147394846,"PAAD","sig"
"1601","MSC-AS1-MIR429-PLCG1",0.0355709740224676,"PAAD","sig"
"1602","OIP5-AS1-MIR200B-AVPR1A",0.352242573412331,"PAAD","no_sig"
"1603","OIP5-AS1-MIR200B-FLT1",0.298171598725635,"PAAD","no_sig"
"1604","OIP5-AS1-MIR200B-KDR",0.156463012190955,"PAAD","no_sig"
"1605","OIP5-AS1-MIR200B-MALT1",0.216246402073271,"PAAD","no_sig"
"1606","OIP5-AS1-MIR429-AVPR1A",0.00249778729111416,"PAAD","sig"
"1607","OIP5-AS1-MIR429-MALT1",0.00249778729111416,"PAAD","sig"
"1608","OIP5-AS1-MIR429-PAK2",0.00232162047701945,"PAAD","sig"
"1609","OIP5-AS1-MIR429-PLCG1",0.125541566658016,"PAAD","no_sig"
"1610","OIP5-AS1-MIR642A-IL2RA",0.183893314111245,"PAAD","no_sig"
"1611","OIP5-AS1-MIR642A-LGMN",0.278203260817554,"PAAD","no_sig"
"1612","OIP5-AS1-MIR642A-NRAS",0.104501682661966,"PAAD","no_sig"
"1613","PDCD4-AS1-MIR200A-ANGPTL7",0.0181668038403339,"PAAD","sig"
"1614","PDCD4-AS1-MIR200A-GRB2",0.0358631272843216,"PAAD","sig"
"1615","PDCD4-AS1-MIR200A-HGF",0.0181668038403339,"PAAD","sig"
"1616","PDCD4-AS1-MIR200A-IL12RB2",0.0181668038403339,"PAAD","sig"
"1617","PDCD4-AS1-MIR200A-MALT1",0.0194229405574501,"PAAD","sig"
"1618","PINK1-AS-MIR200A-GRB2",0.0414083471536209,"PAAD","sig"
"1619","PINK1-AS-MIR200A-HGF",0.376878078073427,"PAAD","no_sig"
"1620","PINK1-AS-MIR200A-MALT1",0.1725916285095,"PAAD","no_sig"
"1621","SNHG12-MIR320D1-MDK",0.0843493831414038,"PAAD","no_sig"
"1622","SNHG12-MIR320D1-SEMA7A",0.0374944570035092,"PAAD","sig"
"1623","TMEM51-AS1-MIR33A-SRC",0.031571768344191,"PAAD","sig"
"1624","AC009126.1-MIR126-CYLD",0.866294221543964,"PCPG","no_sig"
"1625","AC009126.1-MIR126-NR2C2",0.28139539268873,"PCPG","no_sig"
"1626","AC009126.1-MIR126-PIK3R1",0.169030961802737,"PCPG","no_sig"
"1627","AC010207.1-MIR103A2-TGFBR3",0.0155922096644304,"PCPG","sig"
"1628","AC018647.2-MIR126-CYLD",0.483491725051971,"PCPG","no_sig"
"1629","AC018647.2-MIR126-NR2C2",0.261423951273341,"PCPG","no_sig"
"1630","AC018647.2-MIR126-PIK3R1",0.174984199829915,"PCPG","no_sig"
"1631","AC023043.4-MIR103A2-TGFBR3",0.0155922096644304,"PCPG","sig"
"1632","LINC01197-MIR103A2-TGFBR3",0.0155922096644304,"PCPG","sig"
"1633","NOP14-AS1-MIR126-CYLD",0.894616186861645,"PCPG","no_sig"
"1634","NOP14-AS1-MIR126-NR2C2",0.262148756736289,"PCPG","no_sig"
"1635","NOP14-AS1-MIR126-PIK3R1",0.169030961802737,"PCPG","no_sig"
"1636","NR2F1-AS1-MIR32-IFITM1",0.0891913937062723,"PCPG","no_sig"
"1637","NR2F2-AS1-MIR103A2-TGFBR3",0.0155922096644304,"PCPG","sig"
"1638","SNHG3-MIR103A2-TGFBR3",0.0155922096644304,"PCPG","sig"
"1639","A1BG-AS1-MIR148A-HSP90AA1",0.0446818332308212,"PRAD","sig"
"1640","A1BG-AS1-MIR148A-ROBO1",0.831518548343155,"PRAD","no_sig"
"1641","A1BG-AS1-MIR148A-S1PR1",0.514886043687935,"PRAD","no_sig"
"1642","A1BG-AS1-MIR148A-SOS2",0.27775137272762,"PRAD","no_sig"
"1643","A1BG-AS1-MIR148A-STAT3",0.194759932155404,"PRAD","no_sig"
"1644","AC005082.1-MIR26B-BMPR1A",0.333304584733506,"PRAD","no_sig"
"1645","AC005082.1-MIR26B-BMPR2",0.851144118293539,"PRAD","no_sig"
"1646","AC005082.1-MIR26B-ERAP1",0.12146273058787,"PRAD","no_sig"
"1647","AC005082.1-MIR26B-GDF10",0.629413208615186,"PRAD","no_sig"
"1648","AC005082.1-MIR26B-INPP5D",0.671548090267989,"PRAD","no_sig"
"1649","AC005082.1-MIR26B-PIK3CG",0.452339447514717,"PRAD","no_sig"
"1650","AC005082.1-MIR26B-SDC3",0.127154098628932,"PRAD","no_sig"
"1651","AC005082.1-MIR26B-TLR1",0.893110731095508,"PRAD","no_sig"
"1652","AC005082.1-MIR26B-VAV1",0.172643768267968,"PRAD","no_sig"
"1653","AC006504.5-MIR133B-CMTM4",0.464387665401,"PRAD","no_sig"
"1654","AC006504.5-MIR133B-IGF1R",0.251121262769018,"PRAD","no_sig"
"1655","AC016747.1-MIR93-BMPR2",0.153842380085735,"PRAD","no_sig"
"1656","AC016747.1-MIR93-CANX",0.784170053008291,"PRAD","no_sig"
"1657","AC016747.1-MIR93-MAPK1",0.806590702711225,"PRAD","no_sig"
"1658","AC016747.1-MIR93-NR3C1",0.389087689197082,"PRAD","no_sig"
"1659","AC027031.2-MIR744-NFKBIB",0.421117536886501,"PRAD","no_sig"
"1660","AC027279.1-MIR186-JUND",0.207960467146382,"PRAD","no_sig"
"1661","AC027279.1-MIR186-NENF",0.00682522477276637,"PRAD","sig"
"1662","AC068338.2-MIR181B2-GRK2",0.569807824771135,"PRAD","no_sig"
"1663","AC068338.2-MIR181B2-HMGB1",0.0216818720119382,"PRAD","sig"
"1664","AC068338.2-MIR181B2-MAP2K1",0.00812723029155482,"PRAD","sig"
"1665","AC083799.1-MIR218-1-ELAVL1",0.104359456095214,"PRAD","no_sig"
"1666","AC083799.1-MIR218-1-HDGF",0.51548974387956,"PRAD","no_sig"
"1667","AC083799.1-MIR218-1-HMGB1",0.0889753240265156,"PRAD","no_sig"
"1668","AC083799.1-MIR218-1-PPARD",0.162808218357195,"PRAD","no_sig"
"1669","AC083799.1-MIR218-1-PPIA",0.667499600500639,"PRAD","no_sig"
"1670","AC083799.1-MIR218-1-S100A11",0.571002850723392,"PRAD","no_sig"
"1671","AC083799.1-MIR4676-GRK2",0.612633128280338,"PRAD","no_sig"
"1672","AC090877.2-MIR221-PSMD4",0.346595977965836,"PRAD","no_sig"
"1673","AC090877.2-MIR221-TOR2A",0.0164067985943901,"PRAD","sig"
"1674","AC090877.2-MIRLET7C-PAK4",0.0528947713646789,"PRAD","no_sig"
"1675","AC092747.4-MIR1277-NCK2",0.886224525366555,"PRAD","no_sig"
"1676","AC092747.4-MIR1277-SEMA3F",0.209301394336591,"PRAD","no_sig"
"1677","AGAP2-AS1-MIR4677-NR2F6",0.68033548758166,"PRAD","no_sig"
"1678","AL034374.1-MIR186-PPIA",0.0220133935811477,"PRAD","sig"
"1679","AL034374.1-MIR186-PSMD13",0.0964106276996026,"PRAD","no_sig"
