"","ceRNA","log_rank_p","cancer","sur_sig"
"77","AC010336.5-MIR125B1-HDGF",0.672010995907096,"BRCA","no_sig"
"78","AC010336.5-MIR125B1-PRDX2",0.232808217819805,"BRCA","no_sig"
"79","AC010336.5-MIR125B1-TOR2A",0.244415555052036,"BRCA","no_sig"
"80","AC010336.5-MIR27B-TMSB10",0.382796560384976,"BRCA","no_sig"
"81","AC010336.5-MIR27B-TOR2A",0.244365548415085,"BRCA","no_sig"
"82","AC016405.3-MIR3194-ACTG1",0.27672655143436,"BRCA","no_sig"
"83","AC016405.3-MIR3194-CSK",0.225700809001481,"BRCA","no_sig"
"84","AC016405.3-MIR3194-GRB2",0.771386371847825,"BRCA","no_sig"
"85","AC016405.3-MIR3194-RAC3",0.80663692023786,"BRCA","no_sig"
"86","AC016405.3-MIR625-AKT1",0.0616548800538143,"BRCA","no_sig"
"87","AC016405.3-MIR625-JUND",0.018918500751137,"BRCA","sig"
"88","AC016747.1-MIR103A2-FURIN",0.128908291372871,"BRCA","no_sig"
"89","AC016747.1-MIR103A2-NFATC3",0.139708848347701,"BRCA","no_sig"
"90","AC016747.1-MIR106B-B2M",0.359669173632753,"BRCA","no_sig"
"91","AC016747.1-MIR106B-CDC42",0.710941239782871,"BRCA","no_sig"
"92","AC016747.1-MIR106B-HSPA8",0.0983855663797333,"BRCA","no_sig"
"93","AC016747.1-MIR106B-MAPK1",0.0904326479201099,"BRCA","no_sig"
"94","AC016747.1-MIR106B-PPP3R1",0.017910211464878,"BRCA","sig"
"95","AC016747.1-MIR106B-TNFRSF21",0.0838153945420708,"BRCA","no_sig"
"96","AC016747.1-MIR93-B2M",0.359669173632753,"BRCA","no_sig"
"97","AC016747.1-MIR93-BIRC5",0.0448209858342528,"BRCA","sig"
"98","AC016747.1-MIR93-BMPR2",0.62329523507916,"BRCA","no_sig"
"99","AC016747.1-MIR93-CANX",0.0644709498594054,"BRCA","no_sig"
"100","AC016747.1-MIR93-CDC42",0.679838057303802,"BRCA","no_sig"
"101","AC016747.1-MIR93-CTSS",0.063331174875189,"BRCA","no_sig"
"102","AC016747.1-MIR93-CXCL8",0.465360862724903,"BRCA","no_sig"
"103","AC016747.1-MIR93-F2RL1",0.0138512454163385,"BRCA","sig"
"104","AC016747.1-MIR93-HSP90AB1",0.00966106183414062,"BRCA","sig"
"105","AC016747.1-MIR93-HSPA5",0.183231573584722,"BRCA","no_sig"
"106","AC016747.1-MIR93-HSPA8",0.0983855663797333,"BRCA","no_sig"
"107","AC016747.1-MIR93-IFNAR1",0.0343828195889804,"BRCA","sig"
"108","AC016747.1-MIR93-MAP2K1",0.0226129752184826,"BRCA","sig"
