lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
AL390955.2,MIR141,ICAM1,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,ICAM1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,ICAM1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
AL390955.2,MIR141,ICAM1,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
AL390955.2,MIR141,ICAM1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
AL390955.2,MIR141,ICAM1,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,ICAM1,stroma.score,XCELL,1,BLCA
AL390955.2,MIR141,ICAM1,microenvironment.score,XCELL,1,BLCA
AL390955.2,MIR141,MICB,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,MICB,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,MICB,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,MICB,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
AL390955.2,MIR141,MICB,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
AL390955.2,MIR141,MICB,Monocyte,MCPCOUNTER; XCELL,2,BLCA
AL390955.2,MIR141,MICB,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
AL390955.2,MIR141,MICB,stroma.score,XCELL,1,BLCA
AL390955.2,MIR141,MICB,microenvironment.score,XCELL,1,BLCA
AL390955.2,MIR141,PSMC2,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,PSMC2,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,PSMC2,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,PSMC2,Myeloid.dendritic.cell,TIMER,1,BLCA
AL390955.2,MIR141,PSMC2,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
AL390955.2,MIR141,PSMC2,Monocyte,MCPCOUNTER,1,BLCA
AL390955.2,MIR141,PSMC2,stroma.score,XCELL,1,BLCA
AL390955.2,MIR141,SHC1,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,SHC1,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,SHC1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,SHC1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
AL390955.2,MIR141,SHC1,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
AL390955.2,MIR141,SHC1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
AL390955.2,MIR141,SHC1,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
AL390955.2,MIR141,TNFAIP3,T.cell.CD8.,TIMER,1,BLCA
AL390955.2,MIR141,TNFAIP3,Neutrophil,TIMER,1,BLCA
AL390955.2,MIR141,TNFAIP3,Macrophage,TIMER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,TNFAIP3,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
AL390955.2,MIR141,TNFAIP3,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
AL390955.2,MIR141,TNFAIP3,Monocyte,MCPCOUNTER; XCELL,2,BLCA
AL390955.2,MIR141,TNFAIP3,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
AL390955.2,MIR141,TNFAIP3,stroma.score,XCELL,1,BLCA
AL390955.2,MIR141,TNFAIP3,microenvironment.score,XCELL,1,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.CD8.,TIMER; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,HDGF,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
INHBA-AS1,MIR141,HDGF,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,HDGF,Myeloid.dendritic.cell,TIMER,1,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,HDGF,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,HDGF,NK.cell,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,HDGF,Monocyte,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,HDGF,Cancer.associated.fibroblast,XCELL,1,BLCA
INHBA-AS1,MIR141,HDGF,stroma.score,XCELL,1,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.CD4.,EPIC,1,BLCA
INHBA-AS1,MIR141,ICAM1,T.cell.CD8.,TIMER; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,ICAM1,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
INHBA-AS1,MIR141,ICAM1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,ICAM1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
INHBA-AS1,MIR141,ICAM1,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,ICAM1,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,ICAM1,NK.cell,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,ICAM1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
INHBA-AS1,MIR141,ICAM1,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,ICAM1,immune.score,XCELL,1,BLCA
INHBA-AS1,MIR141,ICAM1,stroma.score,XCELL,1,BLCA
INHBA-AS1,MIR141,ICAM1,microenvironment.score,XCELL,1,BLCA
INHBA-AS1,MIR141,ICAM1,T.cell.CD4.,EPIC,1,BLCA
INHBA-AS1,MIR141,MICB,T.cell.CD8.,TIMER; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,MICB,Neutrophil,TIMER; CIBERSORT.ABS,2,BLCA
INHBA-AS1,MIR141,MICB,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,MICB,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
INHBA-AS1,MIR141,MICB,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
INHBA-AS1,MIR141,MICB,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,MICB,NK.cell,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,MICB,Monocyte,MCPCOUNTER; XCELL,2,BLCA
INHBA-AS1,MIR141,MICB,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,MICB,immune.score,XCELL,1,BLCA
INHBA-AS1,MIR141,MICB,stroma.score,XCELL,1,BLCA
INHBA-AS1,MIR141,MICB,microenvironment.score,XCELL,1,BLCA
INHBA-AS1,MIR141,MICB,T.cell.CD4.,EPIC,1,BLCA
INHBA-AS1,MIR141,PSMC2,T.cell.CD8.,TIMER; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,PSMC2,Neutrophil,TIMER; CIBERSORT.ABS,2,BLCA
INHBA-AS1,MIR141,PSMC2,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,PSMC2,Myeloid.dendritic.cell,TIMER,1,BLCA
INHBA-AS1,MIR141,PSMC2,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
INHBA-AS1,MIR141,PSMC2,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,PSMC2,NK.cell,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,PSMC2,Monocyte,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,PSMC2,stroma.score,XCELL,1,BLCA
INHBA-AS1,MIR141,PSMC2,T.cell.CD4.,EPIC,1,BLCA
INHBA-AS1,MIR141,SHC1,T.cell.CD8.,TIMER,1,BLCA
