"","lncRNA","MIRNA","addmir"
"2835","SPINT1-AS1","MIRLET7I","let-7i-5p"
"2836","ST7-AS1","MIR181B1","miR-181b-5p"
"2837","ST7-AS1","MIR181B2","miR-181b-5p"
"2838","ST8SIA6-AS1","MIR125A","miR-125a-3p"
"2839","ST8SIA6-AS1","MIR4252","miR-4252"
"2840","ST8SIA6-AS1","MIR4252","miR-4252"
"2841","ST8SIA6-AS1","MIR129-1","miR-129-5p"
"2842","ST8SIA6-AS1","MIR129-2","miR-129-5p"
"2843","STARD13-AS","MIR1248","miR-1248"
"2844","STARD13-AS","MIR1248","miR-1248"
"2845","TALNEC2","MIR650","miR-650"
"2846","TALNEC2","MIR650","miR-650"
"2847","TATDN1","MIR26B","miR-26b"
"2848","TATDN1","MIR26B","miR-26b"
"2849","TCONS_00026334","MIR548N","miR-548n"
"2850","TCONS_00026334","MIR548N","miR-548n"
"2851","TCONS_00814106","MIR1343","miR-1343"
"2852","TCONS_00814106","MIR1343","miR-1343"
"2853","TINCR","MIR503","miR-503-5p"
"2854","TMPO-AS1","MIR383","miR-383-5p"
"2855","TMPO-AS1","MIR326","miR-326"
"2856","TMPO-AS1","MIR326","miR-326"
"2857","TMPO-AS1","MIR204","miR-204-3p"
"2858","TMPO-AS1","MIR140","miR-140-5p"
"2859","TNK2-AS1","MIR4319","miR-4319"
"2860","TNK2-AS1","MIR4319","miR-4319"
"2861","TPTEP1","MIR106A","miR-106a-5p"
"2862","TSPEAR-AS2","MIR1207","miR-1207-5p"
"2863","TTN-AS1","MIR16-1","miR-16-5p"
"2864","TTN-AS1","MIR16-2","miR-16-5p"
"2865","TTN-AS1","MIR140","miR-140-5p"
"2866","TTTY15","MIR29A","miR-29a-3p"
"2867","TUG1","MIR29A","miR-29a-3p"
"2868","TUG1","MIR141","miR-141-3p"
"2869","TUG1","MIR497","miR-497"
"2870","TUG1","MIR497","miR-497"
"2871","TUG1","MIR421","miR-421"
"2872","TUG1","MIR421","miR-421"
"2873","TUG1","MIR29B1","miR-29b-3p"
"2874","TUG1","MIR29B2","miR-29b-3p"
"2875","UCA1","MIR513A1","miR-513a-3p"
"2876","UCA1","MIR513A2","miR-513a-3p"
"2877","UCA1","MIR455","miR-455"
"2878","UCA1","MIR455","miR-455"
"2879","UPK1A-AS1","MIR138-2","miR-138-5p"
"2880","UPK1A-AS1","MIR138-1","miR-138-5p"
"2881","VENTXP1","MIR205","miR-205-5p"
"2882","Vi4","MIR185","miR-185-5p"
"2883","VPS9D1-AS1","MIR525","miR-525-5p"
"2884","WWOX-AS1","MIR20B","miR-20b-5p"
"2885","XIST","MIR497","miR-497-5p"
"2886","XIST","MIR361","miR-361-3p"
"2887","XIST","MIR124-1","miR-124-3p"
"2888","XIST","MIR124-2","miR-124-3p"
"2889","XIST","MIR124-3","miR-124-3p"
"2890","XIST","MIR29A","miR-29a"
"2891","XIST","MIR29A","miR-29a"
"2892","XIST","MIR27B","miR-27b-3p"
"2893","XIST","MIR142","miR-142-5p"
"2894","XIST","MIR30B","miR-30b-5p"
"2895","XIST","MIR199A1","miR-199a-3p"
"2896","XIST","MIR199A2","miR-199a-3p"
"2897","XIST","MIR155","miR-155-5p"
"2898","XIST","MIR455","miR-455-3p"
"2899","ZFAS1","MIR296","miR-296-5p"
"2900","ZFAS1","MIR647","miR-647"
"2901","ZFAS1","MIR647","miR-647"
"2902","ZFAS1","MIR1271","miR-1271-5p"
"2903","ZFPM2-AS1","MIR137","miR-137"
"2904","ZFPM2-AS1","MIR137","miR-137"
"2905","ASAP1-IT1","MIR2278","miR-2278"
"2906","ASAP1-IT1","MIR2278","miR-2278"
"2907","BC037916","MIR3145","miR-3145-3p"
"2908","BCRT1","MIR1303","miR-1303"
"2909","BCRT1","MIR1303","miR-1303"
"2910","BLACAT1","MIR519D","miR-519d-3p"
"2911","C2dat2","MIR30D","miR-30d-5p"
"2912","CASC15","MIR582","miR-582-5p"
"2913","CASC9","MIR370","miR-370"
"2914","CASC9","MIR370","miR-370"
"2915","CCAT2","MIR143","miR-143"
"2916","CCAT2","MIR143","miR-143"
"2917","CCDC144NL-AS1","MIR490","miR-490-3p"
"2918","CYTOR","MIR1252","miR-1252-5p"
"2919","DANCR","MIR214","miR-214-5p"
"2920","DDX11-AS1","MIR499A","miR-499b-5p"
"2921","DGCR5","MIR3163","miR-3163"
"2922","DGCR5","MIR3163","miR-3163"
"2923","DHRS4-AS1","MIR224","miR-224-3p"
"2924","DLG1-AS1","MIR497","miR-497-5p"
"2925","DLGAP1-AS2","MIR505","miR-505"
"2926","DLGAP1-AS2","MIR505","miR-505"
"2927","DQ786243","MIR15B","miR-15b-5p"
"2928","DRAIC","MIR18A","miR-18a-3p"
"2929","DUXAP8","MIR20B","miR-20b-5p"
"2930","EGFR-AS1","MIR133B","miR-133b"
"2931","EGFR-AS1","MIR133B","miR-133b"
"2932","ELFN1-AS1","MIR4270","miR-4270"
"2933","ELFN1-AS1","MIR4270","miR-4270"
"2934","ENST00000609755.1","MIR150","miR-150"
"2935","ENST00000609755.1","MIR150","miR-150"
"2936","FAM225A","MIR130A","miR-130a-5p"
"2937","FAM83A-AS1","MIR214","miR-214"
"2938","FAM83A-AS1","MIR214","miR-214"
"2939","FAM83H-AS1","MIR22","miR-22-3p"
"2940","FAM83H-AS1","MIR15A","miR-15a"
"2941","FAM83H-AS1","MIR15A","miR-15a"
"2942","FENDRR","MIR424","miR-424-5p"
"2943","FEZF1-AS1","MIR363","miR-363-3p"
"2944","Ftx","MIR382","miR-382-5p"
"2945","FUT8-AS1","MIR145","miR-145-5p"
"2946","GAN1","MIR26A1","miR-26a-5p"
"2947","GAN1","MIR26A2","miR-26a-5p"
"2948","GAS5","MIR140","miR-140-5p"
"2949","GAS5","MIR452","miR-452-5p"
"2950","GAS5","MIR221","miR-221-3p"
"2951","GIHCG","MIR29B1","miR-29b-3p"
"2952","GIHCG","MIR29B2","miR-29b-3p"
"2953","H19","MIR769","miR-769-5p"
"2954","H19","MIR324","miR-324-3p"
"2955","H19","MIR130A","miR-130a-3p"
"2956","HCG11","MIR620","miR-620"
"2957","HCG11","MIR620","miR-620"
"2958","HCP5","MIR519D","miR-519d"
"2959","HCP5","MIR519D","miR-519d"
"2960","HCP5","MIR299","miR-299-3p"
"2961","HIF1A-AS2","MIR429","miR-429"
"2962","HIF1A-AS2","MIR429","miR-429"
"2963","HLA-F-AS1","MIR375","miR-375"
"2964","HLA-F-AS1","MIR375","miR-375"
"2965","HNF1A-AS1","MIR32","miR-32-5p"
"2966","HOTAIR","MIR1277","miR-1277-5p"
"2967","HOTAIR","MIR148B","miR-148b"
"2968","HOTAIR","MIR148B","miR-148b"
"2969","HOTTIP","MIR663","miR-663a"
"2970","HOTTIP","MIR663","miR-663a"
"2971","HOXA11-AS","MIR152","miR-152-3p"
"2972","HOXA-AS2","MIR885","miR-885-5p"
"2973","KCNQ1OT1","MIR148A","miR-148a-3p"
"2974","KCNQ1OT1","MIR216B","miR-216b-5p"
"2975","KCNQ1OT1","MIR29A","miR-29a-3p"
"2976","LIFR-AS1","MIR4698","miR-4698"
"2977","LIFR-AS1","MIR4698","miR-4698"
"2978","LINC00052","MIR145","miR-145-5p"
"2979","LINC00184","MIR145","miR-145"
"2980","LINC00184","MIR145","miR-145"
"2981","LINC00240","MIR7-1","miR-7-5p"
"2982","LINC00240","MIR7-2","miR-7-5p"
"2983","LINC00240","MIR7-3","miR-7-5p"
"2984","LINC00319","MIR200A","miR-200a-3p"
"2985","LINC00342","MIR19A","miR-19a-3p"
"2986","LINC00461","MIR518A1","miR-518a-3p"
"2987","LINC00461","MIR518A2","miR-518a-3p"
"2988","LINC00466","MIR137","miR-137"
"2989","LINC00466","MIR137","miR-137"
"2990","LINC00466","MIR493","miR-493"
"2991","LINC00466","MIR493","miR-493"
"2992","LINC00467","MIR217","miR-217"
"2993","LINC00467","MIR217","miR-217"
"2994","LINC00525","MIR31","miR-31-5p"
"2995","LINC00525","MIR125A","miR-125a-5p"
"2996","LINC00607","MIR607","miR-607"
"2997","LINC00607","MIR607","miR-607"
"2998","LINC00659","MIR342","miR-342-3p"
"2999","LINC00665","MIR424","miR-424-5p"
"3000","LINC00689","MIR526B","miR-526b-3p"
"3001","LINC00691","MIR1256","miR-1256"
"3002","LINC00691","MIR1256","miR-1256"
"3003","LINC00941","MIR335","miR-335-5p"
"3004","LINC00943","MIR15B","miR-15b-5p"
"3005","LINC01116","MIR93","miR-93-5p"
"3006","LINC01194","MIR641","miR-641"
"3007","LINC01194","MIR641","miR-641"
"3008","LINC01207","MIR1301","miR-1301-3p"
"3009","LINC01410","MIR122","miR-122-5p"
"3010","LINC01503","MIR335","miR-335-5p"
"3011","LINC01554","MIR3681","miR-3681-3p"
"3012","LINC01857","MIR141","miR-141-3p"
"3013","LINC01969","MIR144","miR-144-5p"
"3014","Linc-ROR","MIR145","miR-145"
"3015","Linc-ROR","MIR145","miR-145"
"3016","lncRNAS56464.1","MIR152","miR-152-3p"
"3017","LUCAT1","MIR199A1","miR-199a-5p"
"3018","LUCAT1","MIR199A2","miR-199a-5p"
"3019","MAFG-AS1","MIR3196","miR-3196"
"3020","MAFG-AS1","MIR3196","miR-3196"
"3021","MAFG-AS1","MIR125B1","miR-125b-5p"
"3022","MAFG-AS1","MIR125B2","miR-125b-5p"
"3023","MAGI2-AS3","MIR374B","miR-374b-5p"
"3024","MIR22HG","MIR2861","miR-2861"
"3025","MIR22HG","MIR2861","miR-2861"
"3026","MRPL23-AS1","MIR30B","miR-30b"
"3027","MRPL23-AS1","MIR30B","miR-30b"
"3028","MSC-AS1","MIR142","miR-142-5p"
"3029","NEAT1","MIR222","miR-222-3p"
"3030","NEAT1","MIR486","miR-486-5p"
"3031","NEAT1","MIR455","miR-455-3p"
"3032","NEAT1","MIR186","miR-186-5p"
"3033","NEAT1","MIR128-1","miR-128-3p"
"3034","NEAT1","MIR128-2","miR-128-3p"
"3035","NEAT1","MIR944","miR-944"
"3036","NEAT1","MIR944","miR-944"
"3037","NEAT1","MIR29B1","miR-29b-3p"
"3038","NEAT1","MIR29B2","miR-29b-3p"
"3039","NORAD","MIR211","miR-211-5p"
"3040","OSER1-AS1","MIR612","miR-612"
"3041","OSER1-AS1","MIR612","miR-612"
"3042","PART1","MIR185","miR-185-5p"
"3043","PART1","MIR18A","miR-18a-5p"
"3044","PCAT6","MIR139","miR-139-3p"
"3045","PCGEM1","MIR539","miR-539-5p"
"3046","PGM5P4-AS1","MIR1275","miR-1275"
"3047","PGM5P4-AS1","MIR1275","miR-1275"
"3048","PSMA3-AS1","MIR4429","miR-4429"
"3049","PSMA3-AS1","MIR4429","miR-4429"
"3050","PTTG3P","MIR146A","miR-146a-3p"
"3051","PVT1","MIR20A","miR-20a-5p"
"3052","PVT1","MIR1301","miR-1301-3p"
"3053","RACGAP1P","MIR345","miR-345-5p"
"3054","RHPN1-AS1","MIR3133","miR-3133"
"3055","RHPN1-AS1","MIR3133","miR-3133"
"3056","RMST","MIR377","miR-377"
"3057","RMST","MIR377","miR-377"
"3058","RNF185-AS1","MIR221","miR-221-5p"
"3059","RP3-439F8.1","MIR139","miR-139-5p"
"3060","RUNX1-IT1","MIR21","miR-21"
"3061","RUNX1-IT1","MIR21","miR-21"
"3062","SBF2-AS1","MIR494","miR-494-3p"
"3063","SNHG1","MIR362","miR-362-3p"
"3064","SNHG1","MIR216B","miR-216b-5p"
"3065","SNHG1","MIR181A2","miR-181a-5p"
"3066","SNHG1","MIR181A1","miR-181a-5p"
"3067","SNHG14","MIR181B1","miR-181b-5p"
"3068","SNHG14","MIR181B2","miR-181b-5p"
"3069","SNHG15","MIR302A","miR-302a-3p"
"3070","SNHG16","MIR302B","miR-302b-3p"
"3071","SNHG3","MIR340","miR-340-5p"
"3072","Snhg8","MIR425","miR-425-5p"
"3073","SNHG8","MIR634","miR-634"
"3074","SNHG8","MIR634","miR-634"
"3075","SNHG8","MIR384","miR-384"
"3076","SNHG8","MIR384","miR-384"
"3077","TapSAKI","MIR205","miR-205"
"3078","TapSAKI","MIR205","miR-205"
"3079","TMPO-AS1","MIR126","miR-126-5p"
"3080","TP73-AS1","MIR495","miR-495"
"3081","TP73-AS1","MIR495","miR-495"
"3082","TRIM52-AS1","MIR218-1","miR-218-5p"
"3083","TRIM52-AS1","MIR218-2","miR-218-5p"
"3084","TRPM2-AS","MIR138-2","miR-138-5p"
"3085","TRPM2-AS","MIR138-1","miR-138-5p"
"3086","TTN-AS1","MIR134","miR-134"
"3087","TTN-AS1","MIR134","miR-134"
"3088","TUG1","MIR381","miR-381-3p"
"3089","UBA6-AS1","MIR760","miR-760"
"3090","UBA6-AS1","MIR760","miR-760"
"3091","UCA1","MIR582","miR-582-5p"
"3092","UCA1","MIR423","miR-423-5p"
"3093","UCA1","MIR499A","miR-499b-5p"
"3094","UCA1","MIR375","miR-375"
"3095","UCA1","MIR375","miR-375"
"3096","WT1-AS","MIR494","miR-494-3p"
"3097","XIST","MIR873","miR-873-5p"
"3098","XIST","MIR125B2","miR-125b-2-3p"
"3099","XIST","MIR448","miR-448"
"3100","XIST","MIR448","miR-448"
"3101","XIST","MIR30B","miR-30b"
"3102","XIST","MIR30B","miR-30b"
"3103","XIST","MIR326","miR-326"
"3104","XIST","MIR326","miR-326"
"3105","XIST","MIR106A","miR-106a"
"3106","XIST","MIR106A","miR-106a"
"3107","XIST","MIR23A","miR-23a-3p"
"3108","ZEB2-AS1","MIR107","miR-107"
"3109","ZEB2-AS1","MIR107","miR-107"
"3110","ZFAS1","MIR7-1","miR-7-5p"
"3111","ZFAS1","MIR7-2","miR-7-5p"
"3112","ZFAS1","MIR7-3","miR-7-5p"
"3113","ZFAS1","MIR302D","miR-302d-3p"
"3114","ZFPM2-AS1","MIR650","miR-650"
"3115","ZFPM2-AS1","MIR650","miR-650"
"3116","ZNF667-AS1","MIR206","miR-206"
"3117","ZNF667-AS1","MIR206","miR-206"
"3118","AFAP1-AS1","MIR545","miR-545-3p"
"3119","CDKN2B-AS1","MIR143","miR-143-3p"
"3120","CDKN2B-AS1","MIR15B","miR-15b-5p"
"3121","DANCR","MIR125B1","miR-125b-5p"
"3122","DANCR","MIR125B2","miR-125b-5p"
"3123","DLEU2L","MIR100","miR-100-5p"
"3124","DLEU2L","MIR99A","miR-99a-5p"
"3125","FER1L4","MIR133A1","miR-133a-5p"
"3126","FER1L4","MIR133A2","miR-133a-5p"
"3127","FERRE","MIR19A","miR-19a-5p"
"3128","H19","MIR148B","miR-148b-3p"
"3129","HCG11","MIR579","miR-579"
"3130","HCG11","MIR579","miR-579"
"3131","LINC00520","MIR1252","miR-1252-5p"
"3132","LINC00958","MIR378","miR-378a-3p"
"3133","LINC00963","MIR612","miR-612"
"3134","LINC00963","MIR612","miR-612"
"3135","LINC01224","MIR2467","miR-2467"
"3136","LINC01224","MIR2467","miR-2467"
"3137","LINC01303","MIR200C","miR-200c"
"3138","LINC01303","MIR200C","miR-200c"
"3139","MALAT1","MIR320A","miR-320a-5p"
"3140","MALAT1","MIR150","miR-150-5p"
"3141","MAPKAPK5-AS1","MIR519E","miR-519e-5p"
"3142","MCM3AP-AS1","MIR19A","miR-19a-3p"
"3143","MIAT","MIR613","miR-613"
"3144","MIAT","MIR613","miR-613"
"3145","MIR205HG","MIR214","miR-214"
"3146","MIR205HG","MIR214","miR-214"
"3147","NORAD","MIR150","miR-150-5p"
"3148","PAICC","MIR141","miR-141-3p"
"3149","PAICC","MIR27A","miR-27a-3p"
"3150","RAD51-AS1","MIR29B1","miR-29b-3p"
"3151","RAD51-AS1","MIR29B2","miR-29b-3p"
"3152","RAD51-AS1","MIR29C","miR-29c-3p"
"3153","SNHG15","MIR455","miR-455-3p"
"3154","SNHG16","MIR195","miR-195"
"3155","SNHG16","MIR195","miR-195"
"3156","SNHG17","MIR942","miR-942"
"3157","SNHG17","MIR942","miR-942"
"3158","SNHG17","MIR3180-1","miR-3180-3p"
"3159","SNHG17","MIR3180-2","miR-3180-3p"
"3160","SNHG17","MIR3180-3","miR-3180-3p"
"3161","TUG1","MIR140","miR-140"
"3162","TUG1","MIR140","miR-140"
"3163","UCID","MIR122","miR-122"
"3164","UCID","MIR122","miR-122"
"3165","XIST","MIR101-1","miR-101-3p"
"3166","XIST","MIR101-2","miR-101-3p"
"3167","XIST","MIR599","miR-599"
"3168","XIST","MIR599","miR-599"
"3169","ZEB1-AS1","MIR590","miR-590-5p"
"3170","H19","MIR193B","miR-193b-3p"
"3171","Linc-ROR","MIR212","miR-212-3p"
"3172","XIST","MIR129-1","miR-129-5p"
"3173","XIST","MIR129-2","miR-129-5p"
"3174","Xist","MIR29B1","miR-29b-3p"
"3175","Xist","MIR29B2","miR-29b-3p"
"3176","HOXA-AS3","MIR455","miR-455-5p"
"3177","kcnq1ot1","MIR452","miR-452-3p"
"3178","LINC00242","MIR1-2","miR-1-3p"
"3179","LINC00242","MIR1-1","miR-1-3p"
"3180","LINC00667","MIR4319","miR-4319"
"3181","LINC00667","MIR4319","miR-4319"
"3182","loc339803","MIR30A","miR-30a-5p"
"3183","Peg13","MIR128-1","miR-128-3p"
"3184","Peg13","MIR128-2","miR-128-3p"
"3185","RAET1K","MIR503","miR-503-5p"
"3186","TTTY15","MIR374A","miR-374a-5p"
"3187","XIST","MIR758","miR-758-3p"
"3188","MEG3","MIR98","miR-98-5p"
"3189","SOX2OT","MIR331","miR-331-3p"
"3190","SOX2-OT","MIR942","miR-942-5p"
"3191","TUG1","MIR29B1","miR-29b-1-5p"
"3192","HAGLR","MIR130A","miR-130a-3p"
"3193","RP11-395G23.3","MIR124-1","miR-124-3p"
"3194","RP11-395G23.3","MIR124-2","miR-124-3p"
"3195","RP11-395G23.3","MIR124-3","miR-124-3p"
"3196","FAM66C","MIR23B","miR-23b-3p"
"3197","TUG1","MIR505","miR-505-3p"
"3198","CASC9","MIR424","miR-424-5p"
"3199","FOXD1-AS1","MIR369","miR-369-3p"
"3200","MALAT1","MIR155","miR-155-5p"
"3201","MYLK-AS1","MIR217","miR-217"
"3202","MYLK-AS1","MIR217","miR-217"
"3203","HOXC-AS3","MIR105-1","miR-105-5p"
"3204","HOXC-AS3","MIR105-2","miR-105-5p"
"3205","CCAT2","MIR200B","miR-200b"
"3206","CCAT2","MIR200B","miR-200b"
"3207","LINC01272","MIR1303","miR-1303"
"3208","LINC01272","MIR1303","miR-1303"
"3209","OIP5-AS1","MIR30A","miR-30a"
"3210","OIP5-AS1","MIR30A","miR-30a"
"3211","MALAT1","MIR449A","miR-449a"
"3212","MALAT1","MIR449A","miR-449a"
"3213","LOC100505817","MIR20A","miR-20a"
"3214","LOC100505817","MIR20A","miR-20a"
"3215","LOXL1-AS1","MIR590","miR-590-5p"
"3216","CDKN2B-AS1","MIR122","miR-122-5p"
"3217","SNHG22","MIR128-1","miR-128-3p"
"3218","SNHG22","MIR128-2","miR-128-3p"
"3219","AC092127.1","MIR451","miR-451a"
"3220","AC092127.1","MIR451","miR-451a"
"3221","PCDHB17P","MIR145","miR-145-3p"
"3222","MIR3142HG","MIR450B","miR-450b-5p"
"3223","ELFN1-AS1","MIR1250","miR-1250"
"3224","ELFN1-AS1","MIR1250","miR-1250"
"3225","NR2F1-As1","MIR493","miR-493-5p"
"3226","Lnc-STYK1-2","MIR146B","miR-146b-5p"
"3227","HCP5","MIR128-1","miR-128-3p"
"3228","HCP5","MIR128-2","miR-128-3p"
"3229","LINC00707","MIR338","miR-338-3p"
"3230","LINC00667","MIR200B","miR-200b-3p"
"3231","MALAT1","MIR26A1","miR-26a-5p"
"3232","MALAT1","MIR26A2","miR-26a-5p"
"3233","SNHG12","MIR218-1","miR-218-5p"
"3234","SNHG12","MIR218-2","miR-218-5p"
"3235","OIP5-AS1","MIR144","miR-144-5p"
"3236","ASNR","MIR519E","miR-519e-5p"
"3237","RP11-874J12.4","MIR3972","miR-3972"
"3238","RP11-874J12.4","MIR3972","miR-3972"
"3239","ZFAS1","MIR3926-1","miR-3926"
"3240","ZFAS1","MIR3926-2","miR-3926"
"3241","AFAP1-AS1","MIR195","miR-195"
"3242","AFAP1-AS1","MIR195","miR-195"
"3243","AFAP1-AS1","MIR545","miR-545"
"3244","AFAP1-AS1","MIR545","miR-545"
"3245","PVT1","MIR148A","miR-148a-3p"
"3246","LINC01089","MIR301B","miR-301b-3p"
"3247","LINC01224","MIR485","miR-485-5p"
"3248","THAP9-AS1","MIR335","miR-335-5p"
"3249","LOXL1-AS1","MIR377","miR-377-3p"
"3250","HOXA-AS2","MIR567","miR-567"
"3251","HOXA-AS2","MIR567","miR-567"
"3252","TCONS_00023297","MIR608","miR-608"
"3253","TCONS_00023297","MIR608","miR-608"
"3254","SNHG11","MIR34B","miR-34b"
"3255","SNHG11","MIR34B","miR-34b"
"3256","LINC00636","MIR450A2","miR-450a-2-3p"
"3257","FAM225B","MIR613","miR-613"
"3258","FAM225B","MIR613","miR-613"
"3259","LINC00662","MIR340","miR-340-5p"
"3260","ZBED3-AS1","MIR381","miR-381-3p"
"3261","LINC00115","MIR30A","miR-30a"
"3262","LINC00115","MIR30A","miR-30a"
"3263","DANCR","MIR145","miR-145-3p"
"3264","LincRNA-p21","MIR449A","miR-449a"
"3265","LincRNA-p21","MIR449A","miR-449a"
"3266","uc003pxg.1","MIR25","miR-25-5p"
"3267","HCP5","MIR138-2","miR-138-5p"
"3268","HCP5","MIR138-1","miR-138-5p"
"3269","NORAD","MIR485","miR-485"
"3270","NORAD","MIR485","miR-485"
"3271","WDFY3-AS2","MIR18A","miR-18a"
"3272","WDFY3-AS2","MIR18A","miR-18a"
"3273","HOTAIR","MIR222","miR-222-3p"
"3274","MIR22HG","MIR9-1","miR-9-3p"
"3275","MIR22HG","MIR9-2","miR-9-3p"
"3276","MIR22HG","MIR9-3","miR-9-3p"
"3277","HHAS1","MIR204","miR-204-5p"
"3278","BRE-AS1","MIR21","miR-21"
"3279","BRE-AS1","MIR21","miR-21"
"3280","DLEU2","MIR455","miR-455"
"3281","DLEU2","MIR455","miR-455"
"3282","PRR34-AS1","MIR296","miR-296-5p"
"3283","SNHG1","MIR216A","miR-216a-3p"
"3284","NEAT1","MIR582","miR-582-5p"
"3285","MEG8","MIR378D2","miR-378d"
"3286","MEG8","MIR378D1","miR-378d"
"3287","XIST","MIR200A","miR-200a-3p"
"3288","OIP5-AS1","MIR26A1","miR-26a-5p"
"3289","OIP5-AS1","MIR26A2","miR-26a-5p"
"3290","PVT1","MIR149","miR-149"
"3291","PVT1","MIR149","miR-149"
"3292","NEAT1","MIR183","miR-183-5p"
"3293","PRKCQ-AS1","MIR1287","miR-1287-5p"
"3294","OIP5-AS1","MIR363","miR-363-3p"
"3295","HOTTIP","MIR124-1","miR-124-3p"
"3296","HOTTIP","MIR124-2","miR-124-3p"
"3297","HOTTIP","MIR124-3","miR-124-3p"
"3298","GAS5","MIR21","miR-21-5p"
