"","lncRNA","MIRNA","addmir"
"2423","FALEC","MIR2116","miR-2116-3p"
"2424","FAM201A","MIR186","miR-186-5p"
"2425","FAM225A","MIR197","miR-197-5p"
"2426","FBXL19-AS1","MIR431","miR-431"
"2427","FBXL19-AS1","MIR431","miR-431"
"2428","FEZF1-AS1","MIR516B2","miR-516b-5p"
"2429","FEZF1-AS1","MIR516B1","miR-516b-5p"
"2430","FGD5-AS1","MIR142","miR-142-5p"
"2431","FGF14-AS2","MIR370","miR-370-3p"
"2432","FLVCR1-AS1","MIR381","miR-381"
"2433","FLVCR1-AS1","MIR381","miR-381"
"2434","FOXD2-AS1","MIR205","miR-205-5p"
"2435","FOXD3-AS1","MIR296","miR-296-5p"
"2436","FOXD3-AS1","MIR765","miR-765"
"2437","FOXD3-AS1","MIR765","miR-765"
"2438","FOXP4-AS1","MIR423","miR-423-5p"
"2439","GABPB1-IT1","MIR93","miR-93"
"2440","GABPB1-IT1","MIR93","miR-93"
"2441","GACAT1","MIR422A","miR-422a"
"2442","GACAT1","MIR422A","miR-422a"
"2443","GAS5","MIR382","miR-382-3p"
"2444","GAS5","MIR4465","miR-4465"
"2445","GAS5","MIR4465","miR-4465"
"2446","GAS5","MIR34A","miR-34a"
"2447","GAS5","MIR34A","miR-34a"
"2448","Gas5","MIR23B","miR-23b-3p"
"2449","GAS6-AS1","MIR324","miR-324-3p"
"2450","GAS8-AS1","MIR1343","miR-1343-3p"
"2451","GASL1","MIR106A","miR-106a"
"2452","GASL1","MIR106A","miR-106a"
"2453","GATA6-AS","MIR205","miR-205"
"2454","GATA6-AS","MIR205","miR-205"
"2455","GCMA","MIR34A","miR-34a"
"2456","GCMA","MIR34A","miR-34a"
"2457","Gm15834","MIR30B","miR-30b-3p"
"2458","Gpr137b-ps","MIR200A","miR-200a-3p"
"2459","H19","MIR22","miR-22-3p"
"2460","H19","MIR200B","miR-200b-3p"
"2461","H19","MIR599","miR-599"
"2462","H19","MIR599","miR-599"
"2463","H19","MIR342","miR-342"
"2464","H19","MIR342","miR-342"
"2465","H19","MIR30A","miR-30a-5p"
"2466","H19","MIR138-2","miR-138-5p"
"2467","H19","MIR138-1","miR-138-5p"
"2468","H19","MIR141","miR-141-3p"
"2469","H19","MIR93","miR-93-5p"
"2470","HAS2-AS1","MIR137","miR-137"
"2471","HAS2-AS1","MIR137","miR-137"
"2472","HCG11","MIR455","miR-455-5p"
"2473","HCG11","MIR204","miR-204-5p"
"2474","HCG11","MIR26B","miR-26b-5p"
"2475","HCG11","MIR144","miR-144-3p"
"2476","HCG18","MIR197","miR-197-3p"
"2477","HCG18","MIR146A","miR-146a"
"2478","HCG18","MIR146A","miR-146a"
"2479","HCG18","MIR30A","miR-30a-5p"
"2480","HCP5","MIR27B","miR-27b-3p"
"2481","HEIH","MIR3619","miR-3619-5p"
"2482","HEIH","MIR194-1","miR-194-5p"
"2483","HEIH","MIR194-2","miR-194-5p"
"2484","HOTAIR","MIR129-1","miR-129-5p"
"2485","HOTAIR","MIR129-2","miR-129-5p"
"2486","HOTAIRM1","MIR433","miR-433-5p"
"2487","HOTAIRM1","MIR148A","miR-148a"
"2488","HOTAIRM1","MIR148A","miR-148a"
"2489","HOTAIRM1","MIR125B2","miR-125b-2-3p"
"2490","HOTAIRM1","MIR153-2","miR-153-5p"
"2491","HOTTIP","MIR214","miR-214"
"2492","HOTTIP","MIR214","miR-214"
"2493","HOXB-AS1","MIR149","miR-149-3p"
"2494","HOXB-AS3","MIR378","miR-378a-3p"
"2495","HOXD-AS1","MIR877","miR-877-3p"
"2496","ILF3-AS1","MIR320A","miR-320a"
"2497","ILF3-AS1","MIR320A","miR-320a"
"2498","IMFlnc1","MIR199A1","miR-199a-5p"
"2499","IMFlnc1","MIR199A2","miR-199a-5p"
"2500","INHBA-AS1","MIR422A","miR-422a"
"2501","INHBA-AS1","MIR422A","miR-422a"
"2502","INHBA-AS1","MIR143","miR-143-3p"
"2503","IUR","MIR2467","miR-2467"
"2504","IUR","MIR2467","miR-2467"
"2505","JHDM1D-AS1","MIR450A2","miR-450a-2-3p"
"2506","KCNMB2-AS1","MIR374A","miR-374a-3p"
"2507","KCNMB2-AS1","MIR130B","miR-130b-5p"
"2508","KCNMB2-AS1","MIR4294","miR-4294"
"2509","KCNMB2-AS1","MIR4294","miR-4294"
"2510","KCNQ1OT1","MIR2054","miR-2054"
"2511","KCNQ1OT1","MIR2054","miR-2054"
"2512","KCNQ1OT1","MIR4319","miR-4319"
"2513","KCNQ1OT1","MIR4319","miR-4319"
"2514","KCNQ1OT1","MIR146B","miR-146b-5p"
"2515","KCNQ1OT1","MIR206","miR-206"
"2516","KCNQ1OT1","MIR206","miR-206"
"2517","KCNQ1OT1","MIR146A","miR-146a-5p"
"2518","LBX2-AS1","MIR455","miR-455-5p"
"2519","LBX2-AS1","MIR4784","miR-4784"
"2520","LBX2-AS1","MIR4784","miR-4784"
"2521","LBX2-AS1","MIR4766","miR-4766-5p"
"2522","LEF1-AS1","MIR222","miR-222-5p"
"2523","LEF1-AS1","MIR328","miR-328"
"2524","LEF1-AS1","MIR328","miR-328"
"2525","LHFPL3-AS1","MIR181A2","miR-181a-5p"
"2526","LHFPL3-AS1","MIR181A1","miR-181a-5p"
"2527","LIFR-AS1","MIR29A","miR-29a-3p"
"2528","LINC00173","MIR338","miR-338-3p"
"2529","LINC00174","MIR145","miR-145-5p"
"2530","LINC00200","MIR143","miR-143-3p"
"2531","Linc00210","MIR16-1","miR-16-5p"
"2532","Linc00210","MIR16-2","miR-16-5p"
"2533","LINC00239","MIR484","miR-484"
"2534","LINC00239","MIR484","miR-484"
"2535","LINC00240","MIR4465","miR-4465"
"2536","LINC00240","MIR4465","miR-4465"
"2537","LINC00261","MIR550A1","miR-550a-3p"
"2538","LINC00261","MIR550A2","miR-550a-3p"
"2539","LINC00261","MIR550A3","miR-550a-3p"
"2540","LINC00261","MIR222","miR-222-3p"
"2541","LINC00324","MIR195","miR-195-5p"
"2542","LINC00339","MIR378","miR-378a-3p"
"2543","LINC00346","MIR128-1","miR-128-3p"
"2544","LINC00346","MIR128-2","miR-128-3p"
"2545","LINC00346","MIR340","miR-340-5p"
"2546","Linc00426","MIR455","miR-455-5p"
"2547","LINC00460","MIR320B1","miR-320b"
"2548","LINC00460","MIR320B2","miR-320b"
"2549","LINC00460","MIR150","miR-150-5p"
"2550","LINC00466","MIR508","miR-508"
"2551","LINC00466","MIR508","miR-508"
"2552","LINC00472","MIR373","miR-373-3p"
"2553","LINC00473","MIR513A1","miR-513a-3p"
