lncRNA,miRNA,gene,DE_type,cancer,ceRNA
LINC02086,MIR342,IFNAR2,lnc_sig,BRCA,LINC02086-MIR342-IFNAR2
LINC02086,MIR342,IGF2R,lnc_sig,BRCA,LINC02086-MIR342-IGF2R
LINC02086,MIR342,NDRG1,lnc_sig,BRCA,LINC02086-MIR342-NDRG1
LINC02086,MIR342,PLCG2,lnc_gene_sig,BRCA,LINC02086-MIR342-PLCG2
LINC02086,MIR342,PPIA,lnc_gene_sig,BRCA,LINC02086-MIR342-PPIA
LINC02086,MIR342,TFRC,lnc_gene_sig,BRCA,LINC02086-MIR342-TFRC
LINC02188,MIR149,BID,lnc_sig,BRCA,LINC02188-MIR149-BID
LINC02188,MIR149,C3,lnc_gene_sig,BRCA,LINC02188-MIR149-C3
LINC02188,MIR149,CALR,lnc_gene_sig,BRCA,LINC02188-MIR149-CALR
LINC02188,MIR149,FASLG,lnc_sig,BRCA,LINC02188-MIR149-FASLG
LINC02188,MIR149,GPI,lnc_gene_sig,BRCA,LINC02188-MIR149-GPI
LINC02188,MIR149,HLA-A,lnc_gene_sig,BRCA,LINC02188-MIR149-HLA-A
LINC02188,MIR149,PDGFRA,lnc_gene_sig,BRCA,LINC02188-MIR149-PDGFRA
LINC02188,MIR149,PLCG2,lnc_gene_sig,BRCA,LINC02188-MIR149-PLCG2
LINC02188,MIR149,S1PR2,lnc_sig,BRCA,LINC02188-MIR149-S1PR2
LINC02188,MIR149,ULBP3,lnc_sig,BRCA,LINC02188-MIR149-ULBP3
LINC02236,MIR221,ACTG1,lnc_miR_gene_sig,BRCA,LINC02236-MIR221-ACTG1
LINC02236,MIR221,CASP3,lnc_miR_gene_sig,BRCA,LINC02236-MIR221-CASP3
LINC02236,MIR221,HSPA1B,lnc_miR_sig,BRCA,LINC02236-MIR221-HSPA1B
LINC02236,MIR221,NFYA,lnc_miR_gene_sig,BRCA,LINC02236-MIR221-NFYA
LINC02236,MIR221,PSMD4,lnc_miR_gene_sig,BRCA,LINC02236-MIR221-PSMD4
LINC02321,MIR32,HSPA8,lnc_miR_sig,BRCA,LINC02321-MIR32-HSPA8
LINC02345,MIR342,ADM,lnc_gene_sig,BRCA,LINC02345-MIR342-ADM
LINC02345,MIR342,BMP2,lnc_gene_sig,BRCA,LINC02345-MIR342-BMP2
LINC02345,MIR342,CALR,lnc_gene_sig,BRCA,LINC02345-MIR342-CALR
LINC02345,MIR342,FAM3C,lnc_sig,BRCA,LINC02345-MIR342-FAM3C
LINC02345,MIR342,HDGF,lnc_gene_sig,BRCA,LINC02345-MIR342-HDGF
LINC02345,MIR342,IFNAR2,lnc_sig,BRCA,LINC02345-MIR342-IFNAR2
LINC02345,MIR342,IGF2R,lnc_sig,BRCA,LINC02345-MIR342-IGF2R
LINC02345,MIR342,NDRG1,lnc_sig,BRCA,LINC02345-MIR342-NDRG1
LINC02345,MIR342,PLCG2,lnc_gene_sig,BRCA,LINC02345-MIR342-PLCG2
LINC02345,MIR342,PPIA,lnc_gene_sig,BRCA,LINC02345-MIR342-PPIA
LINC02345,MIR342,TFRC,lnc_gene_sig,BRCA,LINC02345-MIR342-TFRC
MIR4435-2HG,MIR193A,GDF11,lnc_sig,BRCA,MIR4435-2HG-MIR193A-GDF11
MIR4435-2HG,MIR193A,KRAS,lnc_gene_sig,BRCA,MIR4435-2HG-MIR193A-KRAS
MIR4435-2HG,MIR193A,MAPK8,lnc_sig,BRCA,MIR4435-2HG-MIR193A-MAPK8
MIR4435-2HG,MIR193A,MAVS,lnc_sig,BRCA,MIR4435-2HG-MIR193A-MAVS
MIR4435-2HG,MIR193A,PIK3R3,lnc_gene_sig,BRCA,MIR4435-2HG-MIR193A-PIK3R3
MIR4435-2HG,MIR193A,PTK2,lnc_sig,BRCA,MIR4435-2HG-MIR193A-PTK2
MIR4435-2HG,MIR193A,SEMA3D,lnc_gene_sig,BRCA,MIR4435-2HG-MIR193A-SEMA3D
MIR4435-2HG,MIR193A,TCF7L2,lnc_gene_sig,BRCA,MIR4435-2HG-MIR193A-TCF7L2
MIR4435-2HG,MIR193A,TGFB2,lnc_sig,BRCA,MIR4435-2HG-MIR193A-TGFB2
MSC-AS1,MIR106B,TNFRSF21,gene_sig,BRCA,MSC-AS1-MIR106B-TNFRSF21
MSC-AS1,MIR200B,AVPR1A,gene_sig,BRCA,MSC-AS1-MIR200B-AVPR1A
MSC-AS1,MIR200B,FLT1,gene_sig,BRCA,MSC-AS1-MIR200B-FLT1
MSC-AS1,MIR200B,KDR,gene_sig,BRCA,MSC-AS1-MIR200B-KDR
MSC-AS1,MIR200C,AVPR1A,gene_sig,BRCA,MSC-AS1-MIR200C-AVPR1A
MSC-AS1,MIR200C,FLT1,gene_sig,BRCA,MSC-AS1-MIR200C-FLT1
MSC-AS1,MIR200C,KDR,gene_sig,BRCA,MSC-AS1-MIR200C-KDR
MSC-AS1,MIR25,BMPR1A,miR_sig,BRCA,MSC-AS1-MIR25-BMPR1A
MSC-AS1,MIR25,ENG,miR_sig,BRCA,MSC-AS1-MIR25-ENG
MSC-AS1,MIR25,FGF2,miR_gene_sig,BRCA,MSC-AS1-MIR25-FGF2
MSC-AS1,MIR25,IL6ST,miR_sig,BRCA,MSC-AS1-MIR25-IL6ST
MSC-AS1,MIR25,IREB2,miR_sig,BRCA,MSC-AS1-MIR25-IREB2
MSC-AS1,MIR25,ITGAV,miR_sig,BRCA,MSC-AS1-MIR25-ITGAV
MSC-AS1,MIR25,OSMR,miR_sig,BRCA,MSC-AS1-MIR25-OSMR
MSC-AS1,MIR25,PDGFRL,miR_gene_sig,BRCA,MSC-AS1-MIR25-PDGFRL
MSC-AS1,MIR25,ROBO1,miR_sig,BRCA,MSC-AS1-MIR25-ROBO1
MSC-AS1,MIR25,TLR3,miR_gene_sig,BRCA,MSC-AS1-MIR25-TLR3
MSC-AS1,MIR25,UBR1,miR_sig,BRCA,MSC-AS1-MIR25-UBR1
MSC-AS1,MIR429,AVPR1A,gene_sig,BRCA,MSC-AS1-MIR429-AVPR1A
MSC-AS1,MIR429,KRAS,gene_sig,BRCA,MSC-AS1-MIR429-KRAS
NORAD,MIR25,BMPR1A,miR_sig,BRCA,NORAD-MIR25-BMPR1A
NORAD,MIR25,CDH1,miR_sig,BRCA,NORAD-MIR25-CDH1
NORAD,MIR25,HSP90AA1,miR_sig,BRCA,NORAD-MIR25-HSP90AA1
NORAD,MIR25,HSPA8,miR_sig,BRCA,NORAD-MIR25-HSPA8
NORAD,MIR25,IL6ST,miR_sig,BRCA,NORAD-MIR25-IL6ST
NORAD,MIR25,IREB2,miR_sig,BRCA,NORAD-MIR25-IREB2
NORAD,MIR25,ITGAV,miR_sig,BRCA,NORAD-MIR25-ITGAV
NORAD,MIR25,OSMR,miR_sig,BRCA,NORAD-MIR25-OSMR
NORAD,MIR25,PDGFRL,miR_gene_sig,BRCA,NORAD-MIR25-PDGFRL
NORAD,MIR25,TLR3,miR_gene_sig,BRCA,NORAD-MIR25-TLR3
NORAD,MIR25,TNFSF10,miR_sig,BRCA,NORAD-MIR25-TNFSF10
NORAD,MIR25,UBR1,miR_sig,BRCA,NORAD-MIR25-UBR1
NORAD,MIR766,NR1D2,gene_sig,BRCA,NORAD-MIR766-NR1D2
NORAD,MIR766,PSMD11,gene_sig,BRCA,NORAD-MIR766-PSMD11
NR2F1-AS1,MIR25,BMPR1A,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-BMPR1A
NR2F1-AS1,MIR25,ENG,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-ENG
NR2F1-AS1,MIR25,FGF2,lnc_miR_gene_sig,BRCA,NR2F1-AS1-MIR25-FGF2
NR2F1-AS1,MIR25,IL6ST,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-IL6ST
NR2F1-AS1,MIR25,IREB2,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-IREB2
NR2F1-AS1,MIR25,ITGAV,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-ITGAV
NR2F1-AS1,MIR25,OSMR,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-OSMR
NR2F1-AS1,MIR25,PDGFRL,lnc_miR_gene_sig,BRCA,NR2F1-AS1-MIR25-PDGFRL
NR2F1-AS1,MIR25,ROBO1,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-ROBO1
NR2F1-AS1,MIR25,TLR3,lnc_miR_gene_sig,BRCA,NR2F1-AS1-MIR25-TLR3
NR2F1-AS1,MIR25,UBR1,lnc_miR_sig,BRCA,NR2F1-AS1-MIR25-UBR1
NUTM2B-AS1,MIR193A,KRAS,gene_sig,BRCA,NUTM2B-AS1-MIR193A-KRAS
NUTM2B-AS1,MIR193A,PIK3R3,gene_sig,BRCA,NUTM2B-AS1-MIR193A-PIK3R3
NUTM2B-AS1,MIR193A,SEMA3D,gene_sig,BRCA,NUTM2B-AS1-MIR193A-SEMA3D
NUTM2B-AS1,MIR193A,TCF7L2,gene_sig,BRCA,NUTM2B-AS1-MIR193A-TCF7L2
PAXIP1-AS2,MIR9-1,CREB1,lnc_sig,BRCA,PAXIP1-AS2-MIR9-1-CREB1
PAXIP1-AS2,MIR9-1,IREB2,lnc_sig,BRCA,PAXIP1-AS2-MIR9-1-IREB2
PAXIP1-AS2,MIR9-1,JAK1,lnc_sig,BRCA,PAXIP1-AS2-MIR9-1-JAK1
PSMB8-AS1,MIR98,IFNGR1,gene_sig,BRCA,PSMB8-AS1-MIR98-IFNGR1
PSMB8-AS1,MIR98,IL32,gene_sig,BRCA,PSMB8-AS1-MIR98-IL32
PSMB8-AS1,MIR98,SOCS1,gene_sig,BRCA,PSMB8-AS1-MIR98-SOCS1
RPARP-AS1,MIR218-2,ELAVL1,gene_sig,BRCA,RPARP-AS1-MIR218-2-ELAVL1
RPARP-AS1,MIR218-2,HDGF,gene_sig,BRCA,RPARP-AS1-MIR218-2-HDGF
RPARP-AS1,MIR218-2,PPIA,gene_sig,BRCA,RPARP-AS1-MIR218-2-PPIA
RPARP-AS1,MIR218-2,RFX5,gene_sig,BRCA,RPARP-AS1-MIR218-2-RFX5
RPARP-AS1,MIR218-2,VAV2,gene_sig,BRCA,RPARP-AS1-MIR218-2-VAV2
SBF2-AS1,MIR193A,KRAS,gene_sig,BRCA,SBF2-AS1-MIR193A-KRAS
SBF2-AS1,MIR193A,SEMA3D,gene_sig,BRCA,SBF2-AS1-MIR193A-SEMA3D
SBF2-AS1,MIR193A,TCF7L2,gene_sig,BRCA,SBF2-AS1-MIR193A-TCF7L2
SNHG6,MIR125B1,ADRM1,lnc_miR_gene_sig,BRCA,SNHG6-MIR125B1-ADRM1
SNHG6,MIR125B1,CD320,lnc_miR_sig,BRCA,SNHG6-MIR125B1-CD320
SNHG6,MIR125B1,HDGF,lnc_miR_gene_sig,BRCA,SNHG6-MIR125B1-HDGF
SNHG6,MIR125B1,PRDX2,lnc_miR_gene_sig,BRCA,SNHG6-MIR125B1-PRDX2
SNHG6,MIR186,HDGF,lnc_miR_gene_sig,BRCA,SNHG6-MIR186-HDGF
SNHG6,MIR186,HSP90AB1,lnc_miR_sig,BRCA,SNHG6-MIR186-HSP90AB1
SNHG6,MIR186,JUND,lnc_miR_sig,BRCA,SNHG6-MIR186-JUND
SNHG6,MIR186,NENF,lnc_miR_gene_sig,BRCA,SNHG6-MIR186-NENF
SNHG6,MIR186,PPIA,lnc_miR_gene_sig,BRCA,SNHG6-MIR186-PPIA
SNHG6,MIR186,PSMD13,lnc_miR_sig,BRCA,SNHG6-MIR186-PSMD13
SNHG6,MIR186,PSMD4,lnc_miR_gene_sig,BRCA,SNHG6-MIR186-PSMD4
SNHG6,MIR186,PSMD8,lnc_miR_sig,BRCA,SNHG6-MIR186-PSMD8
SNHG6,MIR186,PTPN6,lnc_miR_gene_sig,BRCA,SNHG6-MIR186-PTPN6
SNHG6,MIR26A1,BID,lnc_sig,BRCA,SNHG6-MIR26A1-BID
SNHG6,MIR26A1,BIRC5,lnc_gene_sig,BRCA,SNHG6-MIR26A1-BIRC5
SNHG6,MIR26A1,PPIA,lnc_gene_sig,BRCA,SNHG6-MIR26A1-PPIA
SNHG6,MIR539,ACTG1,lnc_gene_sig,BRCA,SNHG6-MIR539-ACTG1
SNHG6,MIR539,CDK4,lnc_sig,BRCA,SNHG6-MIR539-CDK4
SNHG6,MIR539,HDGF,lnc_gene_sig,BRCA,SNHG6-MIR539-HDGF
TBX5-AS1,MIR25,BMPR1A,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-BMPR1A
TBX5-AS1,MIR25,ENG,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-ENG
TBX5-AS1,MIR25,FGF2,lnc_miR_gene_sig,BRCA,TBX5-AS1-MIR25-FGF2
TBX5-AS1,MIR25,HSPA8,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-HSPA8
TBX5-AS1,MIR25,IL6ST,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-IL6ST
TBX5-AS1,MIR25,IREB2,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-IREB2
TBX5-AS1,MIR25,ITGAV,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-ITGAV
TBX5-AS1,MIR25,OSMR,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-OSMR
TBX5-AS1,MIR25,PDGFRL,lnc_miR_gene_sig,BRCA,TBX5-AS1-MIR25-PDGFRL
TBX5-AS1,MIR25,ROBO1,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-ROBO1
TBX5-AS1,MIR25,TLR3,lnc_miR_gene_sig,BRCA,TBX5-AS1-MIR25-TLR3
TBX5-AS1,MIR25,TNFSF10,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-TNFSF10
TBX5-AS1,MIR25,UBR1,lnc_miR_sig,BRCA,TBX5-AS1-MIR25-UBR1
TRIM52-AS1,MIR218-1,HLA-E,lnc_gene_sig,BRCA,TRIM52-AS1-MIR218-1-HLA-E
TRIM52-AS1,MIR28,NFYB,lnc_sig,BRCA,TRIM52-AS1-MIR28-NFYB
TRIM52-AS1,MIR28,THRA,lnc_gene_sig,BRCA,TRIM52-AS1-MIR28-THRA
TRIM52-AS1,MIR361,VEGFB,lnc_gene_sig,BRCA,TRIM52-AS1-MIR361-VEGFB
TRIM52-AS1,MIR3619,JAG2,lnc_gene_sig,BRCA,TRIM52-AS1-MIR3619-JAG2
TRIM52-AS1,MIR374A,VEGFB,lnc_gene_sig,BRCA,TRIM52-AS1-MIR374A-VEGFB
TYMSOS,MIR221,ACTG1,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-ACTG1
TYMSOS,MIR221,CASP3,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-CASP3
TYMSOS,MIR221,GRB2,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-GRB2
TYMSOS,MIR221,HSPA1B,lnc_miR_sig,BRCA,TYMSOS-MIR221-HSPA1B
TYMSOS,MIR221,NFYA,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-NFYA
TYMSOS,MIR221,PSMD4,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-PSMD4
TYMSOS,MIR221,TOR2A,lnc_miR_gene_sig,BRCA,TYMSOS-MIR221-TOR2A
XIST,MIR193A,GDF11,lnc_sig,BRCA,XIST-MIR193A-GDF11
XIST,MIR193A,KRAS,lnc_gene_sig,BRCA,XIST-MIR193A-KRAS
XIST,MIR193A,MAPK8,lnc_sig,BRCA,XIST-MIR193A-MAPK8
XIST,MIR193A,MAVS,lnc_sig,BRCA,XIST-MIR193A-MAVS
XIST,MIR193A,PTK2,lnc_sig,BRCA,XIST-MIR193A-PTK2
XIST,MIR193A,SEMA3D,lnc_gene_sig,BRCA,XIST-MIR193A-SEMA3D
XIST,MIR193A,TCF7L2,lnc_gene_sig,BRCA,XIST-MIR193A-TCF7L2
XIST,MIR193A,TGFB2,lnc_sig,BRCA,XIST-MIR193A-TGFB2
AC004080.2,MIR193B,GPI,gene_sig,COAD,AC004080.2-MIR193B-GPI
AC004080.2,MIR193B,ZYX,gene_sig,COAD,AC004080.2-MIR193B-ZYX
AC005523.1,MIR425,HSP90AA1,gene_sig,COAD,AC005523.1-MIR425-HSP90AA1
AC009237.14,MIR28,SEMA4C,gene_sig,COAD,AC009237.14-MIR28-SEMA4C
AC016065.1,MIR320B2,PPIA,lnc_gene_sig,COAD,AC016065.1-MIR320B2-PPIA
AC016065.1,MIR320B2,TRPC4AP,lnc_gene_sig,COAD,AC016065.1-MIR320B2-TRPC4AP
AC016065.1,MIR320B2,TXLNA,lnc_sig,COAD,AC016065.1-MIR320B2-TXLNA
AC016065.1,MIR320C1,RARG,lnc_gene_sig,COAD,AC016065.1-MIR320C1-RARG
AC016065.1,MIR320C1,RHOA,lnc_sig,COAD,AC016065.1-MIR320C1-RHOA
AC016065.1,MIR320C2,RARG,lnc_gene_sig,COAD,AC016065.1-MIR320C2-RARG
AC016065.1,MIR320C2,RHOA,lnc_sig,COAD,AC016065.1-MIR320C2-RHOA
AC019069.1,MIR3619,FGFR4,lnc_gene_sig,COAD,AC019069.1-MIR3619-FGFR4
AC019069.1,MIR3619,HDGF,lnc_gene_sig,COAD,AC019069.1-MIR3619-HDGF
AC019069.1,MIR3619,HSP90AB1,lnc_gene_sig,COAD,AC019069.1-MIR3619-HSP90AB1
AC019069.1,MIR3619,JAG2,lnc_gene_sig,COAD,AC019069.1-MIR3619-JAG2
AC019069.1,MIR3619,VAV2,lnc_gene_sig,COAD,AC019069.1-MIR3619-VAV2
AC019069.1,MIR374A,HSP90AA1,lnc_gene_sig,COAD,AC019069.1-MIR374A-HSP90AA1
AC019069.1,MIR374A,RAC1,lnc_sig,COAD,AC019069.1-MIR374A-RAC1
AC019069.1,MIR374A,TOR2A,lnc_sig,COAD,AC019069.1-MIR374A-TOR2A
AC019069.1,MIR374A,VEGFB,lnc_sig,COAD,AC019069.1-MIR374A-VEGFB
AC020910.5,MIR30E,NR2F6,lnc_sig,COAD,AC020910.5-MIR30E-NR2F6
AC020910.5,MIR30E,PSMD7,lnc_gene_sig,COAD,AC020910.5-MIR30E-PSMD7
AC020910.5,MIR30E,RELA,lnc_sig,COAD,AC020910.5-MIR30E-RELA
AC020910.5,MIR30E,UBXN1,lnc_sig,COAD,AC020910.5-MIR30E-UBXN1
AC020910.5,MIR655,NR2F6,lnc_sig,COAD,AC020910.5-MIR655-NR2F6
AC020910.5,MIR655,TOR2A,lnc_sig,COAD,AC020910.5-MIR655-TOR2A
AC020910.5,MIR660,LRSAM1,lnc_gene_sig,COAD,AC020910.5-MIR660-LRSAM1
AC023043.1,MIR193B,CDK4,gene_sig,COAD,AC023043.1-MIR193B-CDK4
AC023043.1,MIR193B,GPI,gene_sig,COAD,AC023043.1-MIR193B-GPI
AC023043.1,MIR193B,ZYX,gene_sig,COAD,AC023043.1-MIR193B-ZYX
AC023043.1,MIR491,AEN,gene_sig,COAD,AC023043.1-MIR491-AEN
AC023043.1,MIR491,B2M,gene_sig,COAD,AC023043.1-MIR491-B2M
AC026401.3,MIR425,HSP90AA1,lnc_gene_sig,COAD,AC026401.3-MIR425-HSP90AA1
AC026401.3,MIR425,PSMD8,lnc_sig,COAD,AC026401.3-MIR425-PSMD8
AC026401.3,MIR425,PSME3,lnc_gene_sig,COAD,AC026401.3-MIR425-PSME3
AC026401.3,MIR425,RAC1,lnc_sig,COAD,AC026401.3-MIR425-RAC1
AC040169.1,MIR1276,PSMD3,lnc_gene_sig,COAD,AC040169.1-MIR1276-PSMD3
AC040169.1,MIR1276,PSME3,lnc_gene_sig,COAD,AC040169.1-MIR1276-PSME3
AC040169.1,MIR1276,RAC1,lnc_sig,COAD,AC040169.1-MIR1276-RAC1
AC040169.1,MIR30B,ADRM1,lnc_gene_sig,COAD,AC040169.1-MIR30B-ADRM1
AC040169.1,MIR30B,PSME3,lnc_gene_sig,COAD,AC040169.1-MIR30B-PSME3
AC092171.3,MIR3173,IFNLR1,lnc_sig,COAD,AC092171.3-MIR3173-IFNLR1
AC092171.3,MIR3173,JUND,lnc_sig,COAD,AC092171.3-MIR3173-JUND
AC092171.3,MIR3173,RXRB,lnc_sig,COAD,AC092171.3-MIR3173-RXRB
AC092171.3,MIR579,PAK4,lnc_sig,COAD,AC092171.3-MIR579-PAK4
AC092171.3,MIR744,ADRM1,lnc_gene_sig,COAD,AC092171.3-MIR744-ADRM1
AC092171.3,MIR744,CDK4,lnc_gene_sig,COAD,AC092171.3-MIR744-CDK4
AC092171.3,MIR744,NFKBIB,lnc_sig,COAD,AC092171.3-MIR744-NFKBIB
AC092171.3,MIR744,NR2F6,lnc_sig,COAD,AC092171.3-MIR744-NR2F6
AC092171.3,MIR744,OGFR,lnc_gene_sig,COAD,AC092171.3-MIR744-OGFR
AC092171.3,MIR744,PAK4,lnc_sig,COAD,AC092171.3-MIR744-PAK4
AC092171.3,MIR744,PSMD4,lnc_gene_sig,COAD,AC092171.3-MIR744-PSMD4
AC092171.3,MIR744,TOR2A,lnc_sig,COAD,AC092171.3-MIR744-TOR2A
AC093673.1,MIR454,ADM2,lnc_gene_sig,COAD,AC093673.1-MIR454-ADM2
AC093673.1,MIR454,LTBR,lnc_sig,COAD,AC093673.1-MIR454-LTBR
AC093673.1,MIR454,THRA,lnc_sig,COAD,AC093673.1-MIR454-THRA
AC100810.1,MIR374A,HSP90AA1,gene_sig,COAD,AC100810.1-MIR374A-HSP90AA1
AC100861.1,MIR186,AEN,lnc_gene_sig,COAD,AC100861.1-MIR186-AEN
AC100861.1,MIR186,HDGF,lnc_gene_sig,COAD,AC100861.1-MIR186-HDGF
AC100861.1,MIR186,HSP90AA1,lnc_gene_sig,COAD,AC100861.1-MIR186-HSP90AA1
AC100861.1,MIR186,HSP90AB1,lnc_gene_sig,COAD,AC100861.1-MIR186-HSP90AB1
AC100861.1,MIR186,MICA,lnc_sig,COAD,AC100861.1-MIR186-MICA
AC100861.1,MIR186,PLXNB2,lnc_sig,COAD,AC100861.1-MIR186-PLXNB2
AC100861.1,MIR186,PPIA,lnc_gene_sig,COAD,AC100861.1-MIR186-PPIA
AC100861.1,MIR186,PSMD13,lnc_gene_sig,COAD,AC100861.1-MIR186-PSMD13
AC100861.1,MIR186,PSMD2,lnc_sig,COAD,AC100861.1-MIR186-PSMD2
AC100861.1,MIR186,PSMD3,lnc_gene_sig,COAD,AC100861.1-MIR186-PSMD3
AC100861.1,MIR186,PSMD4,lnc_gene_sig,COAD,AC100861.1-MIR186-PSMD4
AC100861.1,MIR186,PSMD8,lnc_sig,COAD,AC100861.1-MIR186-PSMD8
AC100861.1,MIR186,PSME1,lnc_sig,COAD,AC100861.1-MIR186-PSME1
AC100861.1,MIR186,PSME3,lnc_gene_sig,COAD,AC100861.1-MIR186-PSME3
AC100861.1,MIR186,PTPN6,lnc_sig,COAD,AC100861.1-MIR186-PTPN6
AC100861.1,MIR186,RELA,lnc_sig,COAD,AC100861.1-MIR186-RELA
AC100861.1,MIR320B2,MDK,lnc_gene_sig,COAD,AC100861.1-MIR320B2-MDK
AC100861.1,MIR320B2,PPIA,lnc_gene_sig,COAD,AC100861.1-MIR320B2-PPIA
AC100861.1,MIR320B2,TXLNA,lnc_sig,COAD,AC100861.1-MIR320B2-TXLNA
AC100861.1,MIR320C1,MDK,lnc_gene_sig,COAD,AC100861.1-MIR320C1-MDK
AC100861.1,MIR320C1,RHOA,lnc_sig,COAD,AC100861.1-MIR320C1-RHOA
AC100861.1,MIR320C2,MDK,lnc_gene_sig,COAD,AC100861.1-MIR320C2-MDK
AC100861.1,MIR320C2,RHOA,lnc_sig,COAD,AC100861.1-MIR320C2-RHOA
AC100861.1,MIR320D1,MDK,lnc_gene_sig,COAD,AC100861.1-MIR320D1-MDK
AC100861.1,MIR370,CD3D,lnc_sig,COAD,AC100861.1-MIR370-CD3D
AC100861.1,MIR370,HSP90AB1,lnc_gene_sig,COAD,AC100861.1-MIR370-HSP90AB1
AC100861.1,MIR370,LRSAM1,lnc_gene_sig,COAD,AC100861.1-MIR370-LRSAM1
AC100861.1,MIR491,AEN,lnc_gene_sig,COAD,AC100861.1-MIR491-AEN
AC100861.1,MIR491,B2M,lnc_gene_sig,COAD,AC100861.1-MIR491-B2M
AC100861.1,MIR491,HLA-C,lnc_sig,COAD,AC100861.1-MIR491-HLA-C
AC100861.1,MIR580,HSPA8,lnc_gene_sig,COAD,AC100861.1-MIR580-HSPA8
AC100861.1,MIR580,PAK4,lnc_sig,COAD,AC100861.1-MIR580-PAK4
AC100861.1,MIR580,PSMC1,lnc_sig,COAD,AC100861.1-MIR580-PSMC1
AC114271.1,MIR193B,ACTG1,lnc_sig,COAD,AC114271.1-MIR193B-ACTG1
AC114271.1,MIR193B,AKT1,lnc_sig,COAD,AC114271.1-MIR193B-AKT1
AC114271.1,MIR193B,CDK4,lnc_gene_sig,COAD,AC114271.1-MIR193B-CDK4
AC114271.1,MIR193B,GPI,lnc_gene_sig,COAD,AC114271.1-MIR193B-GPI
AC114271.1,MIR193B,MAP2K2,lnc_sig,COAD,AC114271.1-MIR193B-MAP2K2
AC114271.1,MIR193B,NR2F6,lnc_sig,COAD,AC114271.1-MIR193B-NR2F6
AC114271.1,MIR193B,PSMC5,lnc_sig,COAD,AC114271.1-MIR193B-PSMC5
AC114271.1,MIR193B,TOR2A,lnc_sig,COAD,AC114271.1-MIR193B-TOR2A
AC114271.1,MIR193B,ZYX,lnc_gene_sig,COAD,AC114271.1-MIR193B-ZYX
AC124798.1,MIR145,CDK4,lnc_miR_gene_sig,COAD,AC124798.1-MIR145-CDK4
AC124798.1,MIR145,VEGFA,lnc_miR_gene_sig,COAD,AC124798.1-MIR145-VEGFA
AL109615.3,MIR145,CDK4,lnc_miR_gene_sig,COAD,AL109615.3-MIR145-CDK4
AL109615.3,MIR145,PAK4,lnc_miR_sig,COAD,AL109615.3-MIR145-PAK4
AL109615.3,MIR145,VEGFA,lnc_miR_gene_sig,COAD,AL109615.3-MIR145-VEGFA
AL109615.3,MIR23B,HDGF,lnc_miR_gene_sig,COAD,AL109615.3-MIR23B-HDGF
AL109615.3,MIR23B,PRDX1,lnc_miR_gene_sig,COAD,AL109615.3-MIR23B-PRDX1
AL109615.3,MIR23B,PSMD14,lnc_miR_gene_sig,COAD,AL109615.3-MIR23B-PSMD14
AL132639.2,MIR193B,CDK4,gene_sig,COAD,AL132639.2-MIR193B-CDK4
AL132639.2,MIR193B,GPI,gene_sig,COAD,AL132639.2-MIR193B-GPI
AL355001.2,MIR29A,CDK4,gene_sig,COAD,AL355001.2-MIR29A-CDK4
AL355001.2,MIR29A,HDGF,gene_sig,COAD,AL355001.2-MIR29A-HDGF
AL590666.2,MIR1343,CALR,lnc_gene_sig,COAD,AL590666.2-MIR1343-CALR
AL590666.2,MIR1343,HSP90AB1,lnc_gene_sig,COAD,AL590666.2-MIR1343-HSP90AB1
AL590666.2,MIR1343,RAC1,lnc_sig,COAD,AL590666.2-MIR1343-RAC1
AL590666.2,MIR379,HSPA5,lnc_gene_sig,COAD,AL590666.2-MIR379-HSPA5
AL590666.2,MIR942,VDR,lnc_gene_sig,COAD,AL590666.2-MIR942-VDR
AL590666.2,MIR98,LTBR,lnc_sig,COAD,AL590666.2-MIR98-LTBR
AL590666.2,MIR98,PAK1,lnc_sig,COAD,AL590666.2-MIR98-PAK1
AL590666.2,MIR98,SEMA4C,lnc_gene_sig,COAD,AL590666.2-MIR98-SEMA4C
AL590666.2,MIR98,TNFRSF21,lnc_sig,COAD,AL590666.2-MIR98-TNFRSF21
AP000662.1,MIR210,BTK,lnc_gene_sig,COAD,AP000662.1-MIR210-BTK
BDNF-AS,MIR210,TFRC,gene_sig,COAD,BDNF-AS-MIR210-TFRC
