lncRNA,miRNA,gene,DE_type,cancer,ceRNA
AC010336.5,MIR125B1,CD320,lnc_miR_sig,BRCA,AC010336.5-MIR125B1-CD320
AC010336.5,MIR125B1,HDGF,lnc_miR_gene_sig,BRCA,AC010336.5-MIR125B1-HDGF
AC010336.5,MIR125B1,PRDX2,lnc_miR_gene_sig,BRCA,AC010336.5-MIR125B1-PRDX2
AC010336.5,MIR125B1,TOR2A,lnc_miR_gene_sig,BRCA,AC010336.5-MIR125B1-TOR2A
AC010336.5,MIR27B,TMSB10,lnc_miR_gene_sig,BRCA,AC010336.5-MIR27B-TMSB10
AC010336.5,MIR27B,TOR2A,lnc_miR_gene_sig,BRCA,AC010336.5-MIR27B-TOR2A
AC016405.3,MIR3194,ACTG1,lnc_gene_sig,BRCA,AC016405.3-MIR3194-ACTG1
AC016405.3,MIR3194,CSK,lnc_gene_sig,BRCA,AC016405.3-MIR3194-CSK
AC016405.3,MIR3194,GRB2,lnc_gene_sig,BRCA,AC016405.3-MIR3194-GRB2
AC016405.3,MIR3194,RAC3,lnc_gene_sig,BRCA,AC016405.3-MIR3194-RAC3
AC016405.3,MIR625,AKT1,lnc_gene_sig,BRCA,AC016405.3-MIR625-AKT1
AC016405.3,MIR625,JUND,lnc_sig,BRCA,AC016405.3-MIR625-JUND
AC016747.1,MIR106B,TNFRSF21,gene_sig,BRCA,AC016747.1-MIR106B-TNFRSF21
AC016747.1,MIR93,BIRC5,gene_sig,BRCA,AC016747.1-MIR93-BIRC5
AC016747.1,MIR93,HSPA5,gene_sig,BRCA,AC016747.1-MIR93-HSPA5
AC016747.1,MIR93,PSMD11,gene_sig,BRCA,AC016747.1-MIR93-PSMD11
AC016747.1,MIR93,TNFRSF21,gene_sig,BRCA,AC016747.1-MIR93-TNFRSF21
AC022784.1,MIR106B,PPIA,lnc_gene_sig,BRCA,AC022784.1-MIR106B-PPIA
AC022784.1,MIR106B,PPP3R1,lnc_sig,BRCA,AC022784.1-MIR106B-PPP3R1
AC022784.1,MIR106B,TNFRSF21,lnc_gene_sig,BRCA,AC022784.1-MIR106B-TNFRSF21
AC022784.1,MIR331,GPI,lnc_gene_sig,BRCA,AC022784.1-MIR331-GPI
AC022784.1,MIR331,PSMC4,lnc_gene_sig,BRCA,AC022784.1-MIR331-PSMC4
AC023644.1,MIR342,ADM,gene_sig,BRCA,AC023644.1-MIR342-ADM
AC023644.1,MIR342,BMP2,gene_sig,BRCA,AC023644.1-MIR342-BMP2
AC023644.1,MIR342,SHC3,gene_sig,BRCA,AC023644.1-MIR342-SHC3
AC023644.1,MIR342,TFRC,gene_sig,BRCA,AC023644.1-MIR342-TFRC
AC027031.2,MIR331,GPI,gene_sig,BRCA,AC027031.2-MIR331-GPI
AC027031.2,MIR331,PSMC4,gene_sig,BRCA,AC027031.2-MIR331-PSMC4
AC027031.2,MIR331,SOCS1,gene_sig,BRCA,AC027031.2-MIR331-SOCS1
AC036108.3,MIR4664,ADM,lnc_miR_gene_sig,BRCA,AC036108.3-MIR4664-ADM
AC036108.3,MIR4664,BMP2,lnc_miR_gene_sig,BRCA,AC036108.3-MIR4664-BMP2
AC036108.3,MIR4664,CRLF1,lnc_miR_gene_sig,BRCA,AC036108.3-MIR4664-CRLF1
AC036108.3,MIR4664,NPR1,lnc_miR_gene_sig,BRCA,AC036108.3-MIR4664-NPR1
AC036108.3,MIR4664,PLCG2,lnc_miR_gene_sig,BRCA,AC036108.3-MIR4664-PLCG2
AC040970.1,MIR125B1,ADRM1,lnc_miR_gene_sig,BRCA,AC040970.1-MIR125B1-ADRM1
AC040970.1,MIR125B1,HDGF,lnc_miR_gene_sig,BRCA,AC040970.1-MIR125B1-HDGF
AC040970.1,MIR125B1,PRDX2,lnc_miR_gene_sig,BRCA,AC040970.1-MIR125B1-PRDX2
AC040970.1,MIR125B1,TOR2A,lnc_miR_gene_sig,BRCA,AC040970.1-MIR125B1-TOR2A
AC040970.1,MIR27B,ADAR,lnc_miR_gene_sig,BRCA,AC040970.1-MIR27B-ADAR
AC040970.1,MIR27B,OLR1,lnc_miR_gene_sig,BRCA,AC040970.1-MIR27B-OLR1
AC040970.1,MIR27B,PAK2,lnc_miR_sig,BRCA,AC040970.1-MIR27B-PAK2
AC040970.1,MIR27B,TOR2A,lnc_miR_gene_sig,BRCA,AC040970.1-MIR27B-TOR2A
AC068338.3,MIR193B,HSPA1L,lnc_sig,BRCA,AC068338.3-MIR193B-HSPA1L
AC068338.3,MIR193B,MAP2K2,lnc_sig,BRCA,AC068338.3-MIR193B-MAP2K2
